epoch,lr,kd_ready,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,kd_weight,kd_temperature,effective_kd_coeff
1,0.05,0,2.757080193634033,2.757080193634033,0.0,0.0,63.76,1.8970377464294434,0.0,11.136641093662806,0.6079198632921492,0.000678407315198066,0.0,3.0,0.0
2,0.04999451708687114,0,1.4383400704574585,1.4383400704574585,0.0,0.0,66.29,1.3515455078125,0.0,10.789695875985283,0.6512880155018397,0.0008064791410496193,0.0,3.0,0.0
3,0.04997807075247146,0,1.0075750085639954,1.0075750085639954,0.0,0.0,64.93,1.3084955602645874,0.0,10.24291297367641,0.7196358782904488,0.0011649010973217497,0.0,3.0,0.0
4,0.04995066821070679,0,0.8871560363769532,0.8871560363769532,0.0,0.0,63.31,1.3420872520446778,0.0,10.277288573128837,0.7153389283588953,0.0012099211786075362,0.0,3.0,0.0
5,0.049912321481237615,0,0.8577449673080444,0.8577449673080444,0.0,0.0,64.47,1.272093628501892,0.0,12.206978116716657,0.47412773541041786,0.0012314656288318865,0.0,3.0,0.0
6,0.049863047384206834,0,0.8412819136047364,0.8412819136047364,0.0,0.0,63.43,1.3393085302352905,0.0,9.496313231331962,0.8129608460835047,0.002596060807783423,0.0,3.0,0.0
7,0.04980286753286195,0,0.8348163774490357,0.8348163774490357,0.0,0.0,60.65,1.4384262062072755,0.0,10.567083358764648,0.679114580154419,0.0016539650054515473,0.0,3.0,0.0
8,0.049731808324074714,0,0.8390705308151245,0.8390705308151245,0.0,0.0,63.38,1.322553546333313,0.0,10.214657238551549,0.7231678451810564,0.0020154962569774526,0.0,3.0,0.0
9,0.04964990092676263,0,0.8454900848388672,0.8454900848388672,0.0,0.0,61.53,1.431312523651123,0.0,10.66071115221296,0.66741110597338,0.0016331153206660279,0.0,3.0,0.0
10,0.049557181268217225,0,0.8499519447135925,0.8499519447135925,0.0,0.0,60.32,1.4694138598442077,0.0,10.749311447143555,0.6563360691070557,0.001922100641032947,0.0,3.0,0.0
11,0.049453690018345146,0,0.8554583552551269,0.8554583552551269,0.0,0.0,59.89,1.4691029350280762,0.0,8.126617295401436,0.9841728380748205,0.006966150631862027,0.0,3.0,0.0
12,0.04933947257182901,0,0.8630376050949097,0.8630376050949097,0.0,0.0,60.7,1.4200590028762818,0.0,9.10551929473877,0.8618100881576538,0.003735423320904374,0.0,3.0,0.0
13,0.04921457902821578,0,0.8687205258560181,0.8687205258560181,0.0,0.0,59.8,1.4865528198242188,0.0,8.754864147731237,0.9056419815335954,0.004616466883037772,0.0,3.0,0.0
14,0.049079064169941455,0,0.8739222409057618,0.8739222409057618,0.0,0.0,61.75,1.3796930488586425,0.0,9.501692771911621,0.8122884035110474,0.0035523132953260627,0.0,3.0,0.0
15,0.048932987438301684,0,0.8762183684158326,0.8762183684158326,0.0,0.0,60.97,1.428408684539795,0.0,9.627941949026924,0.7965072563716344,0.0032516594094756457,0.0,3.0,0.0
16,0.048776412907378844,0,1.6948095937347412,1.6948095937347412,0.0,0.0,31.46,2.648575981140137,0.5993303571428571,8.149672780718122,0.9812909024102348,0.007496193749830127,0.0,3.0,0.0
17,0.048609409255937035,0,2.208034323196411,2.208034323196411,0.0,0.0,37.6,2.373499948501587,0.5993303571428571,8.0,1.0,0.008000192964183432,0.0,3.0,0.0
18,0.04843204973729729,1,2.1034131676101686,1.9825066466522216,0.16792571553707122,0.12090652000904083,40.89,2.27405164642334,0.5993303571428571,7.999999931880406,1.0,0.008168461399951152,0.08,3.0,0.72
19,0.04824441214720629,1,2.014583498840332,1.8977913665390014,0.16221129025459288,0.11679213381290436,40.73,2.347992357254028,0.5993303571428571,7.999999931880406,1.0,0.008399105165153742,0.08,3.0,0.72
20,0.04804657878971252,1,1.9540125010681153,1.8394722317886352,0.1590837003326416,0.1145402689051628,45.33,2.021464101791382,0.5993303571428571,8.0,1.0,0.00870090686450047,0.08,3.0,0.72
21,0.04783863644106502,1,1.9035121119308471,1.7907764987564088,0.1565772353410721,0.11273561396598816,41.9,2.199336350250244,0.5993303571428571,7.999999931880406,1.0,0.00902101128096027,0.08,3.0,0.72
22,0.04762067631165049,1,1.8710038640594482,1.7592829470825195,0.15516793686389924,0.1117209189915657,44.83,2.131349105834961,0.5993303571428571,7.999999863760812,1.0,0.0093521033081093,0.08,3.0,0.72
23,0.047392794005985325,1,1.8442350910949707,1.7334370594024657,0.15388615061283112,0.11079803276062011,46.53,1.960651096343994,0.5993303571428571,8.0,1.0,0.009695010692147272,0.08,3.0,0.72
24,0.04715508948078037,1,1.8189420420837403,1.7097819213104248,0.15161127429008484,0.10916012162446975,45.79,2.056142241668701,0.5993303571428571,8.0,1.0,0.010036172345280647,0.08,3.0,0.72
25,0.04690766700109659,1,1.7980193545150758,1.6887713359832763,0.15173335141658784,0.10924801733732223,44.37,2.1110564823150635,0.5993303571428571,7.999999931880406,1.0,0.010407319026333945,0.08,3.0,0.72
26,0.04665063509461097,1,1.7849212156677245,1.6761252501678467,0.15110550285816193,0.10879596630811691,47.72,1.9609307544708252,0.5993303571428571,8.0,1.0,0.010763803097818578,0.08,3.0,0.72
27,0.04638410650401267,1,1.7668727785873413,1.6592325949859619,0.1495002470302582,0.10764018218517303,46.64,2.055571077346802,0.5993303571428571,7.999999931880406,1.0,0.011112499948857086,0.08,3.0,0.72
28,0.04610819813755038,1,1.7578367135620117,1.6503644528579713,0.14926702550411225,0.10747226264238358,48.69,1.8818468338012695,0.5993303571428571,7.999999931880406,1.0,0.01147093577310443,0.08,3.0,0.72
29,0.04582303101775249,1,1.7477144842147827,1.640762229347229,0.14854479153633118,0.10695225421428681,47.45,1.9645266778945922,0.5993303571428571,8.0,1.0,0.011822633977447237,0.08,3.0,0.72
30,0.045528730228342605,1,1.7347589348983765,1.628028656616211,0.14823648858070373,0.10673027609586716,46.46,2.020181810760498,0.5993303571428571,8.0,1.0,0.012138137460819312,0.08,3.0,0.72
31,0.04522542485937369,1,1.7194506971359254,1.6132874801635742,0.14744890725135804,0.10616321744441987,50.04,1.8305858930587768,0.5993303571428571,7.999999931880406,1.0,0.012513028091884084,0.08,3.0,0.72
32,0.04491324795060491,1,1.717573355293274,1.611520634727478,0.14729544243812562,0.10605272281169892,49.47,1.853276036453247,0.5993303571428571,7.999999931880406,1.0,0.012831359103854214,0.08,3.0,0.72
33,0.044592336433146,1,1.7014784270858765,1.5953710870742799,0.1473712998533249,0.10610734009027481,51.44,1.7981141199111939,0.5993303571428571,8.0,1.0,0.01312501193024218,0.08,3.0,0.72
34,0.044262831069394735,1,1.700662522239685,1.5951774366760254,0.14650706014633177,0.10548508759737014,46.83,2.004219147872925,0.5993303571428571,8.0,1.0,0.013466380436771683,0.08,3.0,0.72
35,0.043924876391293916,1,1.6866687187957763,1.5815808074951172,0.14595542817592622,0.10508791238546371,50.92,1.7934005926132202,0.5993303571428571,8.0,1.0,0.013768997542294008,0.08,3.0,0.72
36,0.043578620636934864,1,1.6818632438278198,1.5772011666488648,0.14536399052619933,0.10466207718610764,46.07,2.070861675262451,0.5993303571428571,8.0,1.0,0.014037093446989144,0.08,3.0,0.72
37,0.04322421568553529,1,1.6768211780548097,1.571484341506958,0.14630115245342254,0.1053368342781067,51.5,1.780339713859558,0.5993303571428571,8.0,1.0,0.01434831680463893,0.08,3.0,0.72
38,0.04286181699082009,1,1.6690481894683837,1.5639680667114257,0.1459446111726761,0.10508012419700623,50.95,1.7955220762252808,0.5993303571428571,8.0,1.0,0.01462024959203388,0.08,3.0,0.72
39,0.04249158351283414,1,1.6669159020614623,1.5623367431640625,0.14524882210731507,0.10457915612220764,44.81,2.062092015457153,0.5993303571428571,7.999999863760812,1.0,0.014862584515607782,0.08,3.0,0.72
40,0.04211367764821722,1,1.6585102666473388,1.5535920655822755,0.1457197169685364,0.10491820035457611,51.09,1.8057654064178468,0.5993303571428571,7.999999931880406,1.0,0.015094928543216415,0.08,3.0,0.72
41,0.04172826515897146,1,1.6469914723205565,1.5430553298950196,0.14435574707508086,0.10393614196777344,52.19,1.7397119621276855,0.5993303571428571,7.999999931880406,1.0,0.015321583919493216,0.08,3.0,0.72
42,0.04133551509975264,1,1.6455644218063354,1.5416267800140382,0.14435783545970918,0.10393764563083649,49.85,1.8532752738952636,0.5993303571428571,7.999999863760812,1.0,0.015599196810009224,0.08,3.0,0.72
43,0.040935599743717244,1,1.6363022988128662,1.5317788437271118,0.14517145772457124,0.10452345368385314,52.27,1.7395639345169067,0.5993303571428571,8.0,1.0,0.015843777917325497,0.08,3.0,0.72
44,0.040528694506957764,1,1.6368243338394166,1.5330139724349976,0.14418105109214782,0.10381036091804505,52.76,1.7229169801712036,0.5993303571428571,8.0,1.0,0.01604962402156421,0.08,3.0,0.72
45,0.040114977871559376,1,1.6308811811447144,1.5267568033218384,0.14461718482971192,0.10412437733888626,50.97,1.8107495063781738,0.5993303571428571,8.0,1.0,0.016248038604057262,0.08,3.0,0.72
46,0.03969463130731183,1,1.6225063262939454,1.518638861694336,0.14426036351680754,0.10386746592283248,51.28,1.8164886226654053,0.5993303571428571,8.0,1.0,0.01644864645121353,0.08,3.0,0.72
47,0.0392678391921108,1,1.6194700898361205,1.515792760887146,0.14399628363609315,0.1036773283648491,51.2,1.7928866878509522,0.5993303571428571,7.999999931880406,1.0,0.01663044936555837,0.08,3.0,0.72
48,0.038834788731083605,1,1.614371452102661,1.510756948852539,0.14390902626991273,0.10361450305223464,50.34,1.8418199575424195,0.5993303571428571,7.999999931880406,1.0,0.016775462410545776,0.08,3.0,0.72
49,0.038395669874474916,1,1.6111110297393798,1.507869373779297,0.1433911803817749,0.10324165393829346,52.53,1.7426032409667969,0.5993303571428571,8.0,1.0,0.016873091159920608,0.08,3.0,0.72
50,0.03795067523432826,1,1.6033365374374389,1.5001708472442628,0.14328567361831665,0.10316568910121918,50.63,1.810864682006836,0.5993303571428571,7.999999863760812,1.0,0.016941939813217947,0.08,3.0,0.72
51,0.037500000000000006,1,1.602879528312683,1.4997108313751222,0.14328984951496124,0.1031686955857277,46.89,2.043949126625061,0.5993303571428571,8.0,1.0,0.016996517943750535,0.08,3.0,0.72
52,0.037043841852542884,1,1.597528791885376,1.494354510498047,0.14329760667324065,0.10317428084373474,51.49,1.8035638708114623,0.5993303571428571,8.0,1.0,0.01698914000631443,0.08,3.0,0.72
53,0.036582400877996545,1,1.587874277305603,1.4849040589141846,0.14301418464660645,0.10297021695137024,54.22,1.69219324798584,0.5993303571428571,7.999999931880406,1.0,0.016943399162430848,0.08,3.0,0.72
54,0.036115879479623185,1,1.585790532989502,1.4828178078460694,0.1430176652574539,0.10297272308349609,53.22,1.7128686227798462,0.5993303571428571,8.0,1.0,0.016939071639041816,0.08,3.0,0.72
55,0.03564448228912682,1,1.5715801461029053,1.4694227566146851,0.14188525274276734,0.10215738596916199,50.58,1.8241945375442505,0.5993303571428571,8.0,1.0,0.016883995683331574,0.08,3.0,0.72
56,0.035168416076895005,1,1.5800506457901,1.477705238609314,0.1421463901424408,0.10234540508031845,54.18,1.669652462387085,0.5993303571428571,8.0,1.0,0.01682760177313217,0.08,3.0,0.72
