epoch,lr,train_loss,test_loss,test_acc,best_acc
1,0.1,4.2657697686767575,4.072133987426758,8.19,8.19
2,0.1,3.8926611560821534,3.7811632751464845,14.41,14.41
3,0.1,3.610226608581543,3.520217837524414,20.02,20.02
4,0.1,3.3141265616607667,3.33341070022583,25.77,25.77
5,0.1,3.064103037414551,3.116995096206665,30.81,30.81
6,0.1,2.8816544094085694,3.083224403381348,33.07,33.07
7,0.1,2.7407541251373293,3.0357952728271482,33.72,33.72
8,0.1,2.6316524980163574,2.7959576610565184,37.95,37.95
9,0.1,2.5524031163024903,2.881556687927246,37.66,37.95
10,0.1,2.47530754447937,2.880666347503662,39.1,39.1
11,0.1,2.4269909257507325,2.5769312923431396,45.19,45.19
12,0.1,2.388204393310547,2.678641152191162,43.01,45.19
13,0.1,2.353719393234253,2.58997647895813,44.81,45.19
14,0.1,2.3160904010009764,2.849651138305664,39.93,45.19
15,0.1,2.2995080392456053,2.8293325004577636,41.91,45.19
16,0.1,2.270302397003174,2.494316021347046,47.55,47.55
17,0.1,2.247756714324951,2.747925570678711,41.95,47.55
18,0.1,2.2336734854888918,2.5228783782958986,47.38,47.55
19,0.1,2.2254307096862793,2.555748564529419,45.88,47.55
20,0.1,2.211841805648804,2.70347844543457,44.18,47.55
21,0.1,2.195832170562744,2.6105276710510252,45.47,47.55
22,0.1,2.1867443050384523,2.716991865158081,42.32,47.55
23,0.1,2.1719238608551024,2.4688999744415283,49.8,49.8
24,0.1,2.1648986043548586,2.466595272064209,49.29,49.8
25,0.1,2.156261669616699,2.704082735824585,44.25,49.8
26,0.1,2.156320208282471,2.4793109050750735,49.01,49.8
27,0.1,2.1454604468536376,2.776800419998169,41.66,49.8
28,0.1,2.1398474755096437,2.891174687576294,40.53,49.8
29,0.1,2.1348702563476563,2.649421611785889,44.68,49.8
30,0.1,2.1251558827209474,2.4433113540649414,50.04,50.04
31,0.1,2.124694942550659,2.3889575901031495,51.08,51.08
32,0.1,2.117163176956177,2.38823903465271,50.95,51.08
33,0.1,2.1059097564315796,2.7040460708618164,42.73,51.08
34,0.1,2.105457590942383,2.531509634017944,47.79,51.08
35,0.1,2.1068906129455565,2.5803880393981933,46.01,51.08
36,0.1,2.095946571273804,2.418879998779297,49.41,51.08
37,0.1,2.0919843531036375,2.588698025894165,46.13,51.08
38,0.1,2.096429229660034,2.4774063480377198,48.81,51.08
39,0.1,2.086590672607422,2.4176673748016357,49.44,51.08
40,0.1,2.0805444358825684,2.339685248184204,52.71,52.71
41,0.1,2.0758223824310305,2.256768321609497,55.12,55.12
42,0.1,2.0792376180267333,2.380476383972168,51.85,55.12
43,0.1,2.075965580291748,2.480654484939575,48.97,55.12
44,0.1,2.0708313759613035,2.4875346405029295,50.09,55.12
45,0.1,2.065272415008545,2.5718199798583985,47.86,55.12
46,0.1,2.063804089202881,2.6401516876220703,46.52,55.12
47,0.1,2.0655530618286133,2.573375900268555,46.52,55.12
