epoch,lr,train_loss,test_loss,test_acc,best_acc
1,0.1,4.124503826217651,3.940517324066162,11.11,11.11
2,0.1,3.7464875483703612,3.6425842140197755,17.75,17.75
3,0.1,3.3920487710571288,3.3605222755432127,24.29,24.29
4,0.1,3.118642925949097,3.1534349185943604,29.77,29.77
5,0.1,2.919038112258911,2.943160693359375,34.15,34.15
6,0.1,2.795269302062988,3.013359768295288,35.15,35.15
7,0.1,2.68853022605896,2.86364446144104,37.98,37.98
8,0.1,2.611649008102417,2.873703434753418,37.93,37.98
9,0.1,2.5461468758392334,3.378197478485107,32.45,37.98
10,0.1,2.498229714050293,2.822187742614746,38.52,38.52
11,0.1,2.4656312712097166,2.8550701076507567,38.22,38.52
12,0.1,2.427963943786621,2.874258151245117,37.88,38.52
13,0.1,2.4084378202056884,2.8047914535522462,40.14,40.14
14,0.1,2.3818844105529786,2.723460137939453,42.24,42.24
15,0.1,2.3588628093719484,2.8447774894714355,40.79,42.24
16,0.1,2.3457394122314454,2.8533679557800293,38.52,42.24
17,0.1,2.3282165333557128,2.687476844406128,41.77,42.24
18,0.1,2.3264601441192627,2.751161383056641,42.82,42.82
19,0.1,2.313041821594238,2.6864349967956542,44.55,44.55
20,0.1,2.2940111363220215,2.592631399536133,46.22,46.22
21,0.1,2.2889417262268066,2.610406004333496,45.15,46.22
22,0.1,2.281948709564209,2.5795281440734863,46.92,46.92
23,0.1,2.2670092962646486,2.674271139526367,44.01,46.92
24,0.1,2.2630970951080323,2.7825262718200685,41.8,46.92
25,0.1,2.2593051676177978,2.794547582244873,41.6,46.92
26,0.1,2.250814677581787,2.629420790863037,45.48,46.92
27,0.1,2.2439389373779295,2.688830304336548,44.35,46.92
28,0.1,2.2397335375213623,2.712041160964966,44.85,46.92
29,0.1,2.2372235400390625,2.579924682235718,46.1,46.92
30,0.1,2.232337495956421,2.8116875873565674,41.5,46.92
31,0.1,2.230567760467529,2.499979706573486,48.34,48.34
32,0.1,2.216527055282593,2.509861516571045,47.18,48.34
33,0.1,2.2160215364837645,2.7449626876831053,43.21,48.34
34,0.1,2.2153642570495604,2.5832759525299074,47.07,48.34
35,0.1,2.215484074630737,2.672835230255127,45.64,48.34
36,0.1,2.2115122846221924,2.8583791946411132,39.69,48.34
37,0.1,2.205487157058716,2.4193467781066893,49.79,49.79
38,0.1,2.203436322631836,2.532025973510742,47.04,49.79
39,0.1,2.205018589553833,2.6605300392150877,44.67,49.79
40,0.1,2.1965094496917725,2.5210661388397217,47.46,49.79
41,0.1,2.191029069671631,2.490533675003052,48.0,49.79
42,0.1,2.19237235748291,2.6127303855896,46.52,49.79
43,0.1,2.1848505085754395,2.660805019378662,44.81,49.79
44,0.1,2.1899020149230957,2.690736328125,43.43,49.79
45,0.1,2.1838029292297363,2.530995435333252,47.83,49.79
46,0.1,2.1854569010925293,2.4044839050292968,50.24,50.24
47,0.1,2.185351021194458,2.7836842304229736,40.83,50.24
48,0.1,2.1850794425964355,2.592508655548096,45.54,50.24
49,0.1,2.1787948359680174,2.491885641860962,47.76,50.24
50,0.1,2.178932888183594,2.4925415294647215,49.41,50.24
51,0.1,2.176390695266724,2.47319450302124,50.33,50.33
52,0.1,2.1691484329986572,2.5940461692810057,45.74,50.33
53,0.1,2.1661332936859132,2.461016236114502,49.32,50.33
54,0.1,2.1685009086608886,2.6153748306274416,45.95,50.33
55,0.1,2.1751308692932128,2.923953273010254,40.31,50.33
56,0.1,2.1687303429412843,2.784355960083008,40.78,50.33
57,0.1,2.165350050506592,2.7065274925231932,44.72,50.33
58,0.1,2.1647588302612304,2.4607016635894774,49.88,50.33
59,0.1,2.1683115675354006,2.5735416736602783,46.6,50.33
60,0.1,2.1648318968200684,2.4641532077789305,49.2,50.33
61,0.1,2.1541183225250244,2.537795170211792,46.89,50.33
62,0.1,2.16094828086853,2.466998022079468,49.95,50.33
63,0.1,2.1633599764251707,2.651340419769287,45.44,50.33
64,0.1,2.1566378452301027,2.579312506103516,46.81,50.33
65,0.1,2.1533061917877196,2.533083270263672,48.75,50.33
66,0.1,2.1581890398406984,2.451446206665039,50.27,50.33
67,0.1,2.153445857849121,2.4387842163085938,49.65,50.33
68,0.1,2.1536301234436035,2.587090440750122,46.71,50.33
69,0.1,2.149346615447998,2.50787566947937,48.07,50.33
70,0.1,2.15018618347168,2.8457918815612793,42.19,50.33
71,0.1,2.1489146343231202,2.383801179885864,50.99,50.99
72,0.1,2.14950092880249,2.512879786682129,48.85,50.99
73,0.1,2.1465797354888916,2.553568012237549,47.81,50.99
74,0.1,2.1527256828689576,2.530340816116333,46.95,50.99
75,0.1,2.1456724018859865,2.575415294265747,46.33,50.99
76,0.1,2.1468564344787597,2.4320682189941407,50.89,50.99
77,0.1,2.1452445263671875,2.4314596691131594,48.98,50.99
78,0.1,2.142306038513184,2.6513581325531006,45.33,50.99
79,0.1,2.1460023134994506,2.357253457260132,51.89,51.89
80,0.1,2.1405075645446776,2.5420792861938475,48.42,51.89
81,0.1,2.138880778503418,2.8393139041900635,42.09,51.89
82,0.1,2.143424193725586,2.437752847290039,49.49,51.89
83,0.1,2.140119523773193,2.508566260910034,48.67,51.89
84,0.1,2.1426460746765135,2.6749096855163574,44.8,51.89
85,0.1,2.141918322982788,2.683561489868164,46.08,51.89
86,0.1,2.1439510358428957,2.544746622467041,46.89,51.89
87,0.1,2.139822345504761,2.767413697052002,44.23,51.89
88,0.1,2.142752251739502,2.467890361404419,48.25,51.89
89,0.1,2.1425264295959474,2.53985442237854,46.41,51.89
90,0.1,2.1385527528381347,2.490224964141846,49.2,51.89
91,0.1,2.1416787889099123,2.5982111515045165,46.86,51.89
92,0.1,2.1347113090515135,2.681686238861084,44.68,51.89
93,0.1,2.134695959587097,2.5105908264160157,47.38,51.89
94,0.1,2.132448561248779,2.601652752685547,46.19,51.89
95,0.1,2.141177444381714,2.444372402191162,50.22,51.89
96,0.1,2.130941558151245,2.5447592247009276,47.75,51.89
97,0.1,2.1414702442932128,2.508910647583008,47.99,51.89
98,0.1,2.128768470458984,2.638955825805664,45.21,51.89
99,0.1,2.136347363433838,2.341682783508301,52.28,52.28
100,0.1,2.1315471309280394,2.590260771560669,47.82,52.28
101,0.1,2.131571055603027,2.521340746307373,48.59,52.28
102,0.1,2.129742924499512,2.503311059188843,48.66,52.28
103,0.1,2.130696614074707,2.494253974914551,48.63,52.28
104,0.1,2.1292469469451905,2.6343209968566894,46.33,52.28
105,0.1,2.137422422027588,2.363110701751709,51.06,52.28
106,0.1,2.126973767776489,2.6214985946655274,47.45,52.28
107,0.1,2.1340943645477295,2.5090115623474123,49.44,52.28
108,0.1,2.122491927032471,2.4833063274383544,49.46,52.28
109,0.1,2.130126287918091,2.4887651401519775,49.09,52.28
110,0.1,2.130586309967041,2.611514056777954,46.86,52.28
111,0.1,2.137180699081421,2.4279669593811035,51.06,52.28
112,0.1,2.1326977055358887,2.571318262863159,46.39,52.28
113,0.1,2.1283141400909424,2.4207505088806154,50.12,52.28
114,0.1,2.1303881440734864,2.689459976577759,45.59,52.28
115,0.1,2.126721637878418,2.4845990562438964,49.23,52.28
116,0.1,2.1275184150695803,2.6201970329284667,44.7,52.28
117,0.1,2.123505264968872,2.534055948638916,48.26,52.28
118,0.1,2.130565305633545,2.627655404663086,45.7,52.28
119,0.1,2.1230129615020754,2.609328512573242,46.06,52.28
120,0.1,2.1313237703704835,2.504392127227783,49.33,52.28
121,0.1,2.1251363315582275,2.621653415298462,45.91,52.28
122,0.1,2.125974533042908,2.406118200683594,51.17,52.28
123,0.1,2.1226980221176146,2.4427111499786376,49.25,52.28
124,0.1,2.126483037185669,2.4752810161590575,48.94,52.28
125,0.1,2.1182800982666015,2.886471729660034,41.79,52.28
126,0.1,2.1280549926757812,2.434273359298706,50.19,52.28
127,0.1,2.12752474937439,2.851435341644287,42.74,52.28
128,0.1,2.1212522791290285,2.3897099460601807,51.42,52.28
129,0.1,2.1260879985809327,2.4508605052948,49.56,52.28
130,0.1,2.1288159183502198,2.417700793838501,50.22,52.28
131,0.1,2.116730020980835,2.7790837631225584,42.85,52.28
132,0.1,2.1229761030578613,2.3969143882751465,51.39,52.28
133,0.1,2.122962950057983,2.5329450469970705,48.52,52.28
134,0.1,2.120687852020264,2.4982217445373536,48.53,52.28
135,0.1,2.1220145108032225,2.530483798980713,47.81,52.28
136,0.1,2.1246277272033693,2.43570036315918,49.43,52.28
137,0.1,2.1205377211761474,2.521557452392578,47.73,52.28
138,0.1,2.12062444229126,2.41453575592041,50.9,52.28
139,0.1,2.120747193260193,2.4164627853393554,49.9,52.28
140,0.1,2.120889373168945,2.8993972537994384,40.83,52.28
141,0.1,2.120409406967163,2.5998530212402344,45.13,52.28
142,0.1,2.1262666427612307,2.673836580657959,43.97,52.28
143,0.1,2.116784700469971,2.4274511539459227,49.87,52.28
144,0.1,2.125159107131958,2.6153420982360838,45.44,52.28
145,0.1,2.118896507949829,2.4041750434875486,50.86,52.28
146,0.1,2.123990743789673,2.91354719581604,41.21,52.28
147,0.1,2.1176171142578126,2.5890896381378172,47.23,52.28
148,0.1,2.1200004630279543,2.5081680446624754,49.32,52.28
149,0.1,2.116758773880005,2.9861179027557374,40.46,52.28
150,0.1,2.121699610824585,2.6299296882629393,45.3,52.28
151,0.010000000000000002,1.8331302268218994,1.931444734954834,64.94,64.94
152,0.010000000000000002,1.7493856992721557,1.915603828048706,65.4,65.4
153,0.010000000000000002,1.7181527754211425,1.8994367937088013,65.76,65.76
154,0.010000000000000002,1.6941539810180664,1.8836445514678954,66.47,66.47
155,0.010000000000000002,1.6774297368621827,1.8892509506225585,66.37,66.47
156,0.010000000000000002,1.6659477373123168,1.8864818271636963,66.62,66.62
157,0.010000000000000002,1.6537982513809204,1.8882364295959473,66.57,66.62
158,0.010000000000000002,1.6457492777252196,1.8854464427948,66.37,66.62
159,0.010000000000000002,1.6378568413543702,1.8761842510223388,66.72,66.72
160,0.010000000000000002,1.6293091316223145,1.892169595336914,66.3,66.72
161,0.010000000000000002,1.621595816192627,1.8809175685882569,65.97,66.72
162,0.010000000000000002,1.617139192276001,1.8798588090896606,66.86,66.86
163,0.010000000000000002,1.6123836534881593,1.9124358158111572,65.33,66.86
164,0.010000000000000002,1.6069599127960206,1.9069990356445312,65.36,66.86
165,0.010000000000000002,1.6100382246398925,1.914774635696411,65.68,66.86
166,0.010000000000000002,1.604782742614746,1.913460634994507,65.69,66.86
167,0.010000000000000002,1.6017781046676636,1.9039547271728516,65.99,66.86
168,0.010000000000000002,1.597032526435852,1.9027618982315064,65.88,66.86
169,0.010000000000000002,1.5947398657226564,1.9077868896484376,65.75,66.86
170,0.010000000000000002,1.5927921725463867,1.9023954242706298,66.19,66.86
171,0.010000000000000002,1.5916539099884033,1.9248016780853272,65.61,66.86
172,0.010000000000000002,1.5884144383621215,1.9227779777526854,65.55,66.86
173,0.010000000000000002,1.5899983527755737,1.9263656663894653,65.42,66.86
174,0.010000000000000002,1.595643224143982,1.9204780532836914,65.8,66.86
175,0.010000000000000002,1.590082393951416,1.954032839202881,64.39,66.86
176,0.010000000000000002,1.5893855839920044,1.9546440856933593,64.79,66.86
177,0.010000000000000002,1.5911171660614014,1.9392371089935303,65.11,66.86
178,0.010000000000000002,1.5883556574249267,1.9280355360031127,65.34,66.86
179,0.010000000000000002,1.5919317086791993,1.9473844589233398,64.93,66.86
180,0.010000000000000002,1.5891220030975342,1.9308598392486571,65.42,66.86
181,0.010000000000000002,1.5866558819580079,1.9510527893066407,64.7,66.86
182,0.010000000000000002,1.5889620890808105,1.9802687259674072,64.4,66.86
183,0.010000000000000002,1.5874436204528808,1.960814747619629,65.07,66.86
184,0.010000000000000002,1.5873272718811036,1.9843940074920654,63.51,66.86
185,0.010000000000000002,1.5858561629486083,1.9299423633575439,65.37,66.86
186,0.010000000000000002,1.5844058477783203,1.9357411182403566,64.85,66.86
187,0.010000000000000002,1.5847691429901123,1.9522051326751708,64.74,66.86
188,0.010000000000000002,1.585468544998169,2.004540232086182,63.41,66.86
