epoch,lr,kd_ready,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,kd_weight,kd_temperature,effective_kd_coeff
1,0.05,0,2.270203387489319,2.270203387489319,0.0,0.0,59.35,1.7929142589569091,0.0,12.222169399261475,0.4722288250923157,0.0004139654929531389,0.0,3.0,0.0
2,0.04999451708687114,0,1.5264420763778686,1.5264420763778686,0.0,0.0,56.13,1.692702925300598,0.0,12.213454896753484,0.47331813790581445,0.0004680683096012217,0.0,3.0,0.0
3,0.04997807075247146,0,1.386084231338501,1.386084231338501,0.0,0.0,54.19,1.7228635805130006,0.0,11.919048569419168,0.510118928822604,0.0006749453560504745,0.0,3.0,0.0
4,0.04995066821070679,0,1.3438557440948486,1.3438557440948486,0.0,0.0,56.03,1.6283596399307252,0.0,11.091206117109818,0.6135992353612727,0.0008219199649333445,0.0,3.0,0.0
5,0.049912321481237615,0,1.3357417052459717,1.3357417052459717,0.0,0.0,49.82,1.9875857767105103,0.0,11.04664893583818,0.6191688830202275,0.0009346824226668105,0.0,3.0,0.0
6,0.049863047384206834,0,1.3304489700698852,1.3304489700698852,0.0,0.0,56.9,1.5588417209625245,0.0,10.39978179064664,0.7000272761691699,0.0011834566830657423,0.0,3.0,0.0
7,0.04980286753286195,0,1.3257112912368774,1.3257112912368774,0.0,0.0,51.4,1.8076523010253907,0.0,11.0399827523665,0.6200021559541875,0.000919083171704022,0.0,3.0,0.0
8,0.049731808324074714,0,1.3282341623687743,1.3282341623687743,0.0,0.0,53.16,1.7631801530838012,0.0,10.607270587574352,0.674091176553206,0.0012504117760479196,0.0,3.0,0.0
9,0.04964990092676263,0,1.3229845615768432,1.3229845615768432,0.0,0.0,54.97,1.687373586654663,0.0,10.481423204595393,0.6898220994255759,0.0014959210245499642,0.0,3.0,0.0
10,0.049557181268217225,0,1.3286258865737914,1.3286258865737914,0.0,0.0,54.02,1.656484782218933,0.0,10.623783891851252,0.6720270135185935,0.0012327959262951151,0.0,3.0,0.0
11,0.049453690018345146,0,1.3326057414627075,1.3326057414627075,0.0,0.0,55.34,1.6430618118286133,0.0,8.048270984129472,0.993966126983816,0.005519292719492858,0.0,3.0,0.0
12,0.04933947257182901,0,1.3241775275802612,1.3241775275802612,0.0,0.0,55.28,1.649500591468811,0.0,8.172425703568893,0.9784467870538884,0.00504067725374956,0.0,3.0,0.0
13,0.04921457902821578,0,1.3258637038040162,1.3258637038040162,0.0,0.0,51.77,1.8207511323928833,0.0,8.349149400537664,0.956356324932792,0.0047906946009871635,0.0,3.0,0.0
14,0.049079064169941455,0,1.32123051322937,1.32123051322937,0.0,0.0,55.43,1.616504849243164,0.0,8.765448136763139,0.9043189829046077,0.004575413702696096,0.0,3.0,0.0
15,0.048932987438301684,0,1.3157905002593995,1.3157905002593995,0.0,0.0,55.11,1.6541979223251342,0.0,8.779489083723588,0.9025638645345515,0.0039071855294010175,0.0,3.0,0.0
16,0.048776412907378844,0,2.5501505500793455,2.5501505500793455,0.0,0.0,5.76,5.077280504608154,0.5982142857142857,8.386356830596924,0.9517053961753845,0.00445352310039611,0.0,3.0,0.0
17,0.048609409255937035,0,3.143137870559692,3.143137870559692,0.0,0.0,19.48,3.171541556930542,0.5982142857142857,8.363636341961948,0.9545454572547565,0.004147002957655455,0.0,3.0,0.0
18,0.04843204973729729,1,3.080516326980591,2.8949661680603027,0.257708545255661,0.1855501601457596,24.71,2.846022553253174,0.5982142857142857,8.363636320287531,0.9545454599640586,0.004045616930604659,0.08,3.0,0.72
19,0.04824441214720629,1,2.9469351795959473,2.771048741073608,0.2442867089033127,0.17588643764019013,25.54,2.859513405609131,0.5982142857142857,8.363636320287531,0.9545454599640586,0.004077343823155388,0.08,3.0,0.72
