epoch,lr,stage,kd_ready,recovery_mode,train_total,train_ce,train_kl,train_kd_term,train_fd,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,cakr_severity,teacher_conf,teacher_correct_rate,kd_sample_weight_mean,agreement,disagreement,kd_temperature,kd_weight,effective_kd_coeff,fd_weight
1,0.05,warm-up,0,0,0.19072527117729188,0.19072527117729188,0.43903873829841616,0.0,0.0,85.28,0.4504421487808227,0.0,10.830126081194196,0.6462342398507255,0.0009327161117523376,0.0008586870737788089,0.9965863752243159,0.9996603260869565,0.9963756211273506,0.982882187342095,0.017117812657905053,2.0008586870737806,0.0,0.0,0.0
2,0.04999451708687114,warm-up,0,0,0.1896686654663086,0.1896686654663086,0.3169262859344482,0.0,0.0,82.84,0.543125869011879,0.0,9.319061415536064,0.835117323057992,0.0024206320771814455,0.0014034103082682992,0.996528502467953,0.9995604219948849,0.9962454479368751,0.9756626582816433,0.024337341718356626,2.0014034103082703,0.0,0.0,0.0
3,0.04997807075247146,warm-up,0,0,0.21104642790794373,0.21104642790794373,0.3102471765518188,0.0,0.0,84.19,0.4770819369316101,0.0,9.519009181431361,0.8101238523210799,0.002638495685200074,0.0019270166466980715,0.9965621367135011,0.9995204603580563,0.9962357945759278,0.9711421953747644,0.028857804625235555,2.0019270166466954,0.0,0.0,0.0
4,0.04995066821070679,warm-up,0,0,0.21970541903495788,0.21970541903495788,0.3101140002632141,0.0,0.0,82.82,0.5306336940288544,0.0,9.53062002999442,0.8086724962506975,0.003462668998898672,0.0020272891250728855,0.9967179880727588,0.9995404411764706,0.9964363916450755,0.9700082002393425,0.029991799760657502,2.002027289125074,0.0,0.0,0.0
5,0.049912321481237615,warm-up,0,0,0.22538518326759338,0.22538518326759338,0.3109458155536652,0.0,0.0,85.24,0.43777133231163023,0.0,9.603369440351214,0.7995788199560983,0.0026010016943993314,0.002254090643930055,0.9966376675364307,0.9995204603580563,0.9963223312212073,0.9687688631169936,0.031231136883006376,2.002254090643927,0.0,0.0,0.0
6,0.049863047384206834,warm-up,0,0,0.22883935693740845,0.22883935693740845,0.3124655278873444,0.0,0.0,84.77,0.4833344041347504,0.0,9.956847190856934,0.7553941011428833,0.0018606097686902753,0.002104905256594896,0.9965656806745797,0.9994804987212276,0.9962368830085715,0.9683059016456994,0.03169409835430057,2.002104905256597,0.0,0.0,0.0
7,0.04980286753286195,warm-up,0,0,0.23543653425216673,0.23543653425216673,0.31658323608398437,0.0,0.0,84.78,0.4626580377221107,0.0,9.6558164869036,0.79302293913705,0.0025393239338882267,0.0020150488942657753,0.9966466141783673,0.9995484335343247,0.9963696788034171,0.9671414611894457,0.032858538810554366,2.002015048894263,0.0,0.0,0.0
8,0.049731808324074714,warm-up,0,0,0.238929193315506,0.238929193315506,0.31787915897369384,0.0,0.0,82.31,0.5678611165523529,0.0,9.521582467215401,0.8098021915980749,0.003299193024369223,0.0021758168288792405,0.9965697775411484,0.9995804028132992,0.9963206959807355,0.9666409591579681,0.03335904084203188,2.0021758168288777,0.0,0.0,0.0
9,0.04964990092676263,warm-up,0,0,0.23018521697044372,0.23018521697044372,0.3101635289955139,0.0,0.0,82.28,0.5566090949535369,0.0,10.043244770595006,0.7445944036756242,0.00189193881150069,0.0022753133076308745,0.996586786511609,0.9996683184448105,0.9963750258431106,0.9676905059448594,0.03230949405514066,2.002275313307632,0.0,0.0,0.0
10,0.049557181268217225,warm-up,0,0,0.23247461662292482,0.23247461662292482,0.3112740974330902,0.0,0.0,84.97,0.4521114831924439,0.0,9.287863731384277,0.8390170335769653,0.0028819657953655614,0.002004233932398721,0.9966325227866697,0.999440537084399,0.9962681794105588,0.9674830765980283,0.032516923401971605,2.0020042339323987,0.0,0.0,0.0
