epoch,lr,stage,train_loss,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error
1,0.05,warm-up,0.2078990228652954,86.46,0.4273122303009033,0.0,12.21253852186532,0.4734326847668351,0.0006597076436766406
2,0.04999451708687114,warm-up,0.23978680105209352,81.46,0.5967179113388061,0.0,11.640538708917026,0.5449326613853718,0.000998516936345462
3,0.04997807075247146,warm-up,0.2510055976009369,87.28,0.40792302675247194,0.0,11.113416474441003,0.6108229406948746,0.0011959939799672957
4,0.04995066821070679,warm-up,0.25399194293022154,85.91,0.4253902276039124,0.0,11.192288135660105,0.6009639830424869,0.0013999264848625272
5,0.049912321481237615,warm-up,0.2560964312648773,86.15,0.4250654270172119,0.0,10.972958910054174,0.6283801362432282,0.0015832874678067285
6,0.049863047384206834,warm-up,0.2560731517791748,82.45,0.5471192813873291,0.0,10.882569107516058,0.6396788615604927,0.001540420015803177
7,0.04980286753286195,warm-up,0.26200760048866273,84.89,0.45682576489448545,0.0,10.640098423793399,0.6699876970258252,0.0017563813855993994
8,0.049731808324074714,warm-up,0.2599920348548889,88.12,0.3632459414720535,0.0,10.718955557921838,0.6601305552597703,0.0018126988565325456
9,0.04964990092676263,warm-up,0.26064229821205137,86.82,0.4027383167743683,0.0,10.935102717629794,0.6331121602962757,0.001722439525047807
10,0.049557181268217225,warm-up,0.2626689899253845,85.18,0.4600440920829773,0.0,10.752685711301606,0.6559142860872993,0.001891651485869982
11,0.049453690018345146,projection,0.2591407724285126,87.24,0.39510896425247194,0.0,8.049693428236862,0.9937883214703922,0.007234603586578581
12,0.04933947257182901,projection,0.26480115723609926,85.09,0.46263942041397094,0.0,8.153462903252963,0.9808171370933796,0.0068362075845502185
13,0.04921457902821578,projection,0.2630585065126419,87.83,0.36306832094192504,0.0,8.248675593014422,0.9689155508731973,0.0065413911682393015
14,0.049079064169941455,projection,0.2578266779327393,85.99,0.4328623770713806,0.0,8.429751050883326,0.9462811186395843,0.006079060844434747
15,0.048932987438301684,projection,0.2628653109025955,85.38,0.4660830758094788,0.0,8.578131757933518,0.9277335302583103,0.00581275021099357
