epoch,lr,stage,train_loss,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error
1,0.05,warm-up,0.20817838208198547,87.38,0.3985054374694824,0.0,11.977980827463083,0.5027523965671146,0.0006839629798472241
2,0.04999451708687114,warm-up,0.239014072098732,86.76,0.4268056200027466,0.0,11.465139175283499,0.5668576030895627,0.0010602855846031914
3,0.04997807075247146,warm-up,0.24620618015289306,87.58,0.38208398580551145,0.0,11.362515383753284,0.5796855770308396,0.0011318084012475146
4,0.04995066821070679,warm-up,0.2559346822166443,84.1,0.49309200382232665,0.0,11.112457916654389,0.6109427604182014,0.0012328240218580347
5,0.049912321481237615,warm-up,0.2526411388874054,84.47,0.48438219261169435,0.0,11.217070217790274,0.5978662227762157,0.001309009759403313
6,0.049863047384206834,warm-up,0.26265783126831055,85.96,0.4384947990894318,0.0,10.82906510912139,0.6463668613598264,0.0015344862104343362
7,0.04980286753286195,warm-up,0.2621778450775146,87.51,0.3972038146018982,0.0,11.088394206145715,0.6139507242317856,0.0016114544526411418
8,0.049731808324074714,warm-up,0.25811632173538207,84.32,0.5003729689121247,0.0,11.09623829249678,0.6129702134379025,0.0014987634255295892
9,0.04964990092676263,warm-up,0.2593543064689636,84.63,0.47261719217300413,0.0,10.918417157797977,0.6351978552752529,0.001601858640540364
10,0.049557181268217225,warm-up,0.25968722935676575,81.36,0.6059160598993302,0.0,11.19889892380813,0.6001376345239837,0.0016757806301468698
11,0.049453690018345146,projection,0.25914922603607177,85.92,0.45303932576179506,0.0,8.046407107649179,0.9941991115438527,0.00724179255384711
12,0.04933947257182901,projection,0.26158930827617644,87.07,0.39008884325027465,0.0,8.21196930983971,0.9735038362700363,0.006699155454106372
13,0.04921457902821578,projection,0.26509001779556274,86.04,0.4432076364517212,0.0,8.334639845223263,0.9581700193470921,0.006396631926001082
14,0.049079064169941455,projection,0.2607859560346603,83.46,0.5309898295402526,0.0,8.50312377666605,0.9371095279167438,0.0061269496776856554
15,0.048932987438301684,projection,0.2601458906364441,86.6,0.4351866575717926,0.0,8.507958593039676,0.9365051758700405,0.0059062461398847015
16,0.048776412907378844,joint,0.3741013730239868,69.51,0.9718566785812378,0.6,8.428787848045086,0.9464015189943642,0.00591184525270866
17,0.048609409255937035,joint,0.4977475252914429,78.8,0.658704873085022,0.6,8.344827561542905,0.9568965548071369,0.005984992906350867
18,0.04843204973729729,joint,0.44877522402763365,80.29,0.615065259552002,0.6,8.344827536878915,0.9568965578901356,0.005943596265720332
19,0.04824441214720629,joint,0.43271301160812375,81.06,0.5789393223762512,0.6,8.344827553321576,0.956896555834803,0.0059496590820972105
20,0.04804657878971252,joint,0.411950657081604,83.19,0.5162390336036682,0.6,8.344827520436255,0.9568965599454682,0.005983821931295097
21,0.04783863644106502,joint,0.39779633420944216,84.27,0.47145713455677035,0.6,8.344827561542905,0.9568965548071369,0.006068688305245375
22,0.04762067631165049,joint,0.39018748196601866,79.56,0.6640236544609069,0.6,8.344827569764236,0.9568965537794705,0.006143183900788025
23,0.047392794005985325,joint,0.3790881551361084,84.57,0.46513695583343506,0.6,8.344827561542905,0.9568965548071369,0.00624885044516273
24,0.04715508948078037,joint,0.37212700364112855,84.45,0.4711031925201416,0.6,8.344827528657584,0.956896558917802,0.006332160654861143
25,0.04690766700109659,joint,0.36666164229393006,84.21,0.47546127300262453,0.6,8.344827545100244,0.9568965568624694,0.006433221196669459
26,0.04665063509461097,joint,0.3600773224925995,80.18,0.6197372601032257,0.6,8.344827553321576,0.956896555834803,0.006537145620878336
