epoch,lr,stage,kd_ready,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,teacher_conf,agreement
1,0.05,warm-up,0,2.3715591119384767,2.3715591119384767,0.0,0.0,44.86,2.348311242675781,0.0,12.78740248186835,0.40157468976645627,0.00045223086114143146,0.5640021733310826,0.860757903446017
2,0.04998766400914329,warm-up,0,2.0202558514785767,2.0202558514785767,0.0,0.0,38.86,2.619218589401245,0.0,12.3086330479589,0.46142086900513757,0.000660433181004436,0.5645363387244436,0.8793666000713778
3,0.04995066821070679,warm-up,0,2.0482770862579347,2.0482770862579347,0.0,0.0,39.72,2.5222393939971925,0.0,12.004886051704144,0.499389243536982,0.0009917195480421506,0.5636829525384757,0.8724259421648577
4,0.049889049115077,warm-up,0,2.0907168991470337,2.0907168991470337,0.0,0.0,39.35,2.5456624320983887,0.0,11.326645168764838,0.5841693539043953,0.0013594226472073074,0.5646107944533648,0.8660784718173239
5,0.04980286753286195,warm-up,0,2.126296624069214,2.126296624069214,0.0,0.0,37.65,2.6295594469070434,0.0,11.830750194089166,0.5211562257388542,0.0013994290202400347,0.5637641449642303,0.8619316873495536
6,0.04969220851487845,warm-up,0,2.1571232749176024,2.1571232749176024,0.0,0.0,41.0,2.436484930038452,0.0,11.301306066841915,0.5873367416447606,0.0015761623593755182,0.5638666700600358,0.85796348624827
7,0.049557181268217225,warm-up,0,2.180351580581665,2.180351580581665,0.0,0.0,38.38,2.6001604415893556,0.0,11.370416205504846,0.5786979743118943,0.0018624672354815627,0.5643205179277894,0.8551055519172298
8,0.049397919048468686,warm-up,0,2.191924087524414,2.191924087524414,0.0,0.0,35.81,2.7653225116729736,0.0,10.937149713779318,0.6328562857775852,0.0022418671194209443,0.5640554385416953,0.8536948977071611
9,0.04921457902821578,warm-up,0,2.2000273263549803,2.2000273263549803,0.0,0.0,28.35,3.235788924407959,0.0,10.883252456270416,0.639593442966198,0.0023234768549493263,0.5643114654533089,0.8526486185048242
10,0.04900734214192358,warm-up,0,2.2062224195098876,2.2062224195098876,0.0,0.0,37.96,2.619887271118164,0.0,11.12782489842382,0.6090218876970226,0.0022892464716281298,0.5640608549804029,0.8512179051213862
11,0.048776412907378844,projection,0,2.2117776348114013,2.2117776348114013,0.0,0.0,36.13,2.745703066635132,0.0,8.064813786539538,0.9918982766825577,0.04218085866314235,0.564390363824337,0.8501368816703787
12,0.04852201922385564,projection,0,2.20838874710083,2.20838874710083,0.0,0.0,37.67,2.635641414642334,0.0,8.363041877746582,0.9546197652816772,0.0411140439882336,0.5645967766528239,0.8504342367429563
13,0.04824441214720629,projection,0,2.208518451080322,2.208518451080322,0.0,0.0,37.92,2.629436678314209,0.0,8.586523220456879,0.9266845974428901,0.04055145597403929,0.5641522031763325,0.8500830255963309
14,0.04794386564209953,projection,0,2.2022852252197267,2.2022852252197267,0.0,0.0,35.14,2.8091226253509523,0.0,8.986872344181455,0.8766409569773181,0.03991334492873683,0.5646460346706078,0.8504806292788757
15,0.04762067631165049,projection,0,2.199962049255371,2.199962049255371,0.0,0.0,39.6,2.5196951930999756,0.0,8.793795421205719,0.9007755723492852,0.039920345455663815,0.5643277226201714,0.8507779335884182
16,0.047275163104709195,joint,0,2.60865916847229,2.60865916847229,0.0,0.0,14.28,3.9446007888793946,0.6,8.401601191224723,0.9497998510969097,0.040906570723772226,0.5639690788810515,0.806916758303752
17,0.04690766700109659,joint,0,3.0630257931518554,3.0630257931518554,0.0,0.0,25.25,3.2338464405059812,0.6,8.379310303720935,0.9525862120348831,0.040627158976475716,0.5643288413124621,0.7521581197791087
18,0.046518550675098594,joint,1,2.0408302182006834,2.8739148368835448,0.07548410032749175,1.207745605239868,25.4,3.270067558288574,0.6,8.379310320163595,0.9525862099795506,0.040645956579462,0.5639419313663107,0.7860393811522237
19,0.04610819813755038,joint,1,1.9378408749389648,2.776252181549072,0.06871434820652009,1.0994295713043214,29.65,3.0503342807769775,0.6,8.379310295499604,0.9525862130625495,0.04072565307645295,0.564162610017735,0.797276799941002
20,0.04567701435686405,joint,1,1.8853014604187013,2.7164408319091797,0.06588513037204742,1.0541620859527587,31.54,2.9224585300445556,0.6,8.379310254392953,0.9525862182008809,0.040866156687388924,0.5643100975953099,0.803294442270113
21,0.04522542485937369,joint,1,1.8490227632141114,2.673268155822754,0.06404858542919159,1.0247773668670654,29.6,3.0441760692596436,0.6,8.379310320163595,0.9525862099795506,0.040998010024974135,0.5638076876435438,0.807747525327346
22,0.04475387530939226,joint,1,1.8239815746307373,2.6417297061157226,0.06288959023952484,1.0062334438323974,32.33,2.906319276428223,0.6,8.379310311942264,0.952586211007217,0.041189369817412606,0.5644840731873841,0.8111995786352231
23,0.044262831069394735,joint,1,1.804850186843872,2.619418010787964,0.06189264777898788,0.9902823644638061,32.63,2.8633804302215577,0.6,8.379310328384925,0.9525862089518844,0.0413447236214715,0.5642900717304186,0.8136631921886484
24,0.043752776740761494,joint,1,1.7923434979248047,2.604297326889038,0.0612743541431427,0.9803896662902832,32.72,2.858905771636963,0.6,8.379310295499604,0.9525862130625495,0.041456590565612725,0.5640085018275643,0.8151024826194929
25,0.04322421568553529,joint,1,1.7772726873779296,2.58409748878479,0.06065299290418625,0.97044788646698,33.01,2.8323883701324464,0.6,8.379310303720935,0.9525862120348831,0.041605841058204945,0.5649914331067248,0.8172357782835851
26,0.04267766952966369,joint,1,1.7644187049865723,2.5687969673156736,0.06000252720117569,0.960040435218811,37.06,2.6760230781555174,0.6,8.379310295499604,0.9525862130625495,0.04175599835377281,0.5641017592014255,0.8189412802076705
27,0.04211367764821722,joint,1,1.7532481983566284,2.5545474378967286,0.059496809825897216,0.9519489572143555,31.9,2.9838320365905764,0.6,8.379310295499604,0.9525862130625495,0.0418836441727461,0.5636014200537406,0.8204920930630716
28,0.0415327966330913,joint,1,1.7449468507766723,2.5431507832336426,0.05917143255710602,0.9467429209136963,34.3,2.813199444580078,0.6,8.379310320163595,0.9525862099795506,0.041959852464600746,0.5641052386797297,0.8212715243287099
29,0.040935599743717244,joint,1,1.7360252246856689,2.5323800511169434,0.058729399871826175,0.9396703979492188,32.39,2.8963625505447386,0.6,8.379310303720935,0.9525862120348831,0.04206594583483337,0.5633625598895885,0.8225147255393855
30,0.040322676341324415,joint,1,1.7269015978622437,2.520436018447876,0.05833544862389565,0.9333671779823304,33.23,2.806832468032837,0.6,8.379310311942264,0.952586211007217,0.04210709106653589,0.5639585210844074,0.8237455205234421
