epoch,lr,stage,kd_ready,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,teacher_conf,agreement
1,0.05,warm-up,0,2.3665365235900877,2.3665365235900877,0.0,0.0,44.27,2.376363457489014,0.0,12.797786005612078,0.4002767492984902,0.0005197662197434721,0.5639955634275056,0.8611124940692921
2,0.04998766400914329,warm-up,0,2.02562049118042,2.02562049118042,0.0,0.0,41.78,2.450678504180908,0.0,12.096685557529844,0.48791430530876956,0.0008872777213212714,0.5640515041015947,0.8787023594312351
3,0.04995066821070679,warm-up,0,2.045974883041382,2.045974883041382,0.0,0.0,37.92,2.646287731933594,0.0,11.887402583812845,0.5140746770233944,0.001131081863119076,0.5637837173155201,0.8725025408408221
4,0.049889049115077,warm-up,0,2.084060794906616,2.084060794906616,0.0,0.0,39.17,2.5463912124633787,0.0,11.210951246064285,0.5986310942419644,0.00150413562131744,0.5641243316785759,0.8670062133875649
5,0.04980286753286195,warm-up,0,2.1281300469970703,2.1281300469970703,0.0,0.0,36.72,2.713846785545349,0.0,11.404247234607565,0.5744690956740544,0.0015369173666568339,0.5642398940708936,0.8618199917514001
6,0.04969220851487845,warm-up,0,2.155680723114014,2.155680723114014,0.0,0.0,40.36,2.486147699356079,0.0,11.671270534910004,0.5410911831362495,0.0016103768803623368,0.5641869830201044,0.8590985753042314
7,0.049557181268217225,warm-up,0,2.1773911155700683,2.1773911155700683,0.0,0.0,37.99,2.6310945350646975,0.0,11.234600585082482,0.5956749268646897,0.0019247493533447624,0.5643902744554803,0.8555327320800108
8,0.049397919048468686,warm-up,0,2.190860001678467,2.190860001678467,0.0,0.0,37.37,2.6227467582702637,0.0,11.281768765942804,0.5897789042571495,0.0019862739311043076,0.563694546480313,0.8537138879604047
9,0.04921457902821578,warm-up,0,2.1993541704559325,2.1993541704559325,0.0,0.0,34.8,2.7920202159881593,0.0,10.85377834583151,0.6432777067710613,0.00227595977221648,0.5637323588437742,0.8526370560421663
10,0.04900734214192358,warm-up,0,2.207381177139282,2.207381177139282,0.0,0.0,34.39,2.8340146118164062,0.0,11.15778423177785,0.6052769710277688,0.002146828474580333,0.563663631029751,0.8510599292605124
11,0.048776412907378844,projection,0,2.2111100678253175,2.2111100678253175,0.0,0.0,34.37,2.8337850395202637,0.0,8.066795834179583,0.9916505207275521,0.04220356257332461,0.564152610157152,0.850499026686944
12,0.04852201922385564,projection,0,2.2096466666412353,2.2096466666412353,0.0,0.0,39.61,2.4973082412719725,0.0,8.419900466655863,0.9475124416680172,0.04117269739450757,0.5635629258954616,0.8503837903289844
