epoch,lr,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity
1,0.05,1.8571384896469116,2.6307733854675295,0.06771897428393364,1.0835035885429383,51.59,2.242018662261963,0.0
2,0.04998766400914329,1.0963505116271972,1.6506478692245483,0.03387832201957702,0.5420531523132324,46.9,2.2800052917480467,0.0
3,0.04995066821070679,1.0354179465675355,1.5630066632080077,0.031739326753616334,0.5078292280578613,46.45,2.2780095182418822,0.0
4,0.049889049115077,1.0727781602859496,1.609874905166626,0.03348008819699287,0.5356814111518859,46.05,2.2980053005218504,0.0
5,0.04980286753286195,1.1130138866424562,1.6654836086273193,0.03503401029586792,0.5605441647338867,43.9,2.4133635955810546,0.0
6,0.04969220851487845,1.1440786693954468,1.7089579524993896,0.036199961906671525,0.5791993905067444,45.26,2.3336388702392576,0.0
7,0.049557181268217225,1.166187903213501,1.7369053699111938,0.037216902319192884,0.5954704371070861,45.79,2.3132876308441164,0.0
8,0.049397919048468686,1.179881441268921,1.756604840812683,0.037697377622127534,0.6031580419540405,39.95,2.625743908691406,0.0
9,0.04921457902821578,1.1909909936523437,1.7706098052215575,0.03821076146364212,0.6113721834182739,43.44,2.4271077224731443,0.0
10,0.04900734214192358,1.1990370529937744,1.781091458129883,0.03856141535878181,0.616982645740509,42.83,2.46547752532959,0.0
11,0.048776412907378844,1.197353218307495,1.777769038848877,0.03855858736515045,0.6169373978424072,46.11,2.2982457878112794,0.0
12,0.04852201922385564,1.1987290390014649,1.7791188463592529,0.03864620146989822,0.6183392235183716,42.23,2.491135849761963,0.0
13,0.04824441214720629,1.1954402108764648,1.774122449798584,0.03854737306833267,0.6167579690933227,46.32,2.30166999168396,0.0
14,0.04794386564209953,1.1910272069549561,1.7665575688934325,0.03846855275392532,0.6154968440628051,45.26,2.337463513183594,0.0
15,0.04762067631165049,1.1860097370910645,1.760900947265625,0.03819490776538849,0.6111185242462158,44.58,2.3845672340393067,0.0
16,0.047275163104709195,1.4250479206848146,2.0576851670837404,0.049525667185783384,0.7924106749725341,21.6,3.9450961727142335,0.5998883928571429
17,0.04690766700109659,1.937952127532959,2.689994450531006,0.07411936322689057,1.1859098116302491,33.99,2.867537744140625,0.5998883928571429
18,0.046518550675098594,1.7941951862335206,2.504528181762695,0.06774138686418534,1.0838621898269654,34.67,2.9084413108825684,0.5998883928571429
19,0.04610819813755038,1.7306702598571777,2.421924743041992,0.06496348617076873,1.0394157787322997,34.92,2.8595681495666505,0.5998883928571429
20,0.04567701435686405,1.7003136056900023,2.378061608810425,0.06391035012722016,1.0225656020355225,32.62,2.9822322071075438,0.5998883928571429
21,0.04522542485937369,1.6722181607818603,2.3408174769592285,0.0627261778497696,1.0036188455963135,37.7,2.703791865158081,0.5998883928571429
22,0.04475387530939226,1.6492230062103272,2.311977321090698,0.06165429345369339,0.9864686952590942,40.0,2.567507652282715,0.5998883928571429
23,0.044262831069394735,1.634471545715332,2.288674651184082,0.061266777441501614,0.9802684390640258,37.55,2.7324941844940187,0.5998883928571429
24,0.043752776740761494,1.6230477965545653,2.273640273284912,0.060778457522392276,0.9724553203582764,38.95,2.608979034423828,0.5998883928571429
25,0.04322421568553529,1.6104680323028564,2.25588097114563,0.0603159436070919,0.9650550977134704,37.7,2.6719827201843263,0.5998883928571429
26,0.04267766952966369,1.6003180004501343,2.24327515914917,0.05983505228996277,0.9573608366394043,36.1,2.7724520542144777,0.5998883928571429
27,0.04211367764821722,1.5917707559204102,2.2298041970062257,0.05960858205080032,0.9537373128128052,39.65,2.6089227687835694,0.5998883928571429
28,0.0415327966330913,1.585699147567749,2.221908784790039,0.05934309455394745,0.9494895128631592,39.33,2.6036142379760743,0.5998883928571429
