epoch,lr,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity
18,0.046518550675098594,1.5217980320739746,2.4337310472106934,0.038116563374996186,0.609865013999939,37.73,2.6665681171417237,0.5998883928571429
19,0.04610819813755038,1.4721277435684204,2.3671479250335694,0.03606922252178192,0.5771075603485107,38.94,2.611102571487427,0.5998883928571429
20,0.04567701435686405,1.4433105823516845,2.325894037704468,0.03504544526338577,0.5607271242141724,34.39,2.8573653995513917,0.5998883928571429
21,0.04522542485937369,1.4230365406036376,2.297786558380127,0.03426790779352188,0.5482865246963501,39.81,2.547493588256836,0.5998883928571429
22,0.04475387530939226,1.408012500228882,2.2751167808532715,0.0338067635846138,0.5409082173538208,39.19,2.6338167404174806,0.5998883928571429
23,0.044262831069394735,1.3945679444122314,2.255715733795166,0.03333875954151153,0.5334201526641845,38.35,2.7025295642852782,0.5998883928571429
24,0.043752776740761494,1.3869081062316895,2.2429964112854,0.03317623779296875,0.5308198046875,39.62,2.6180165977478027,0.5998883928571429
25,0.04322421568553529,1.3779472857666015,2.2303261627197264,0.03284802567362785,0.5255684107780456,39.91,2.643428024673462,0.5998883928571429
26,0.04267766952966369,1.3658898666763306,2.211824882507324,0.03249717852950096,0.5199548564720153,40.73,2.5397653392791746,0.5998883928571429
27,0.04211367764821722,1.357918125038147,2.1997778740310667,0.03225364868402481,0.516058378944397,40.31,2.5706987102508543,0.5998883928571429
28,0.0415327966330913,1.357802537612915,2.1989062192535402,0.032293678501844406,0.5166988560295105,38.86,2.634890787124634,0.5998883928571429
29,0.040935599743717244,1.3511348560333252,2.1868022821044923,0.03221671452283859,0.5154674323654175,37.77,2.7245466526031494,0.5998883928571429
30,0.040322676341324415,1.343840527267456,2.1763396352386475,0.031958838790655135,0.5113414206504822,39.26,2.6220102157592775,0.5998883928571429
31,0.03969463130731184,1.338386071548462,2.170465793609619,0.03164414708733559,0.5063063533973694,41.5,2.5537131187438966,0.5998883928571429
32,0.03905208444630327,1.3324281510543823,2.1590127396392824,0.03161522268891335,0.5058435630226136,42.01,2.4724105937957765,0.5998883928571429
33,0.038395669874474916,1.3278309799575805,2.151027872314453,0.031539630403518676,0.5046340864562988,40.18,2.598136408996582,0.5998883928571429
34,0.03772603539375929,1.3264940405654908,2.148247022628784,0.0315463162368536,0.5047410597896576,40.91,2.5536332366943357,0.5998883928571429
35,0.037043841852542884,1.3177487421798706,2.1360785368347166,0.031213684064149858,0.4994189450263977,38.11,2.6900590488433838,0.5998883928571429
36,0.03634976249348867,1.3160327072906495,2.1320317892456053,0.03125210126280785,0.5000336202049256,40.46,2.573031147003174,0.5998883928571429
37,0.03564448228912682,1.3088924269104003,2.1213163669586184,0.031029280357360838,0.4964684857177734,38.05,2.7060814506530764,0.5998883928571429
38,0.034928697265869516,1.3049369011688232,2.1157618968200684,0.030881993949413298,0.49411190319061277,42.42,2.45172400932312,0.5998883928571429
39,0.03420311381711696,1.3011544733428955,2.109556346359253,0.03079703746318817,0.49275259941101074,41.06,2.5496635471343994,0.5998883928571429
40,0.033468448006132294,1.2987944507980347,2.106370705795288,0.030701137297153472,0.49121819675445555,40.55,2.5478644512176514,0.5998883928571429
41,0.032725424859373686,1.2910709774398803,2.0940335906982424,0.030506772879362105,0.4881083660697937,39.44,2.61933210105896,0.5998883928571429
42,0.03197477765098074,1.2883554946899414,2.088676831474304,0.030502134902477263,0.4880341584396362,41.7,2.5074067893981935,0.5998883928571429
43,0.031217247179121367,1.2806967975234986,2.0780277267837524,0.030210366883277894,0.4833658701324463,41.51,2.5296578643798826,0.5998883928571429
44,0.03045358103491357,1.276369513015747,2.0715964153289796,0.03007141306757927,0.4811426090812683,43.12,2.4401783794403076,0.5998883928571429
45,0.02968453286464312,1.2731957997131347,2.0660916624069214,0.030018746384978295,0.4802999421596527,43.71,2.3688473289489744,0.5998883928571429
46,0.028910861626005774,1.265610542602539,2.054488221435547,0.029795803747177125,0.476732859954834,44.09,2.3514336387634276,0.5998883928571429
47,0.028133330839107615,1.2628121380233766,2.050639034347534,0.029686577869653702,0.47498524591445923,45.27,2.3435493614196776,0.5998883928571429
48,0.02735270783296286,1.256349182281494,2.039768134231567,0.029558139498233795,0.4729302319717407,43.76,2.413774010848999,0.5998883928571429
49,0.02656976298823284,1.2532332020187378,2.0361842637252807,0.02939263372540474,0.47028213960647586,40.88,2.564909885406494,0.5998883928571429
50,0.02578526897695321,1.2448892340087891,2.0205871495056154,0.029324457448720934,0.46919131917953494,43.26,2.428556639099121,0.5998883928571429
51,0.025,1.2396197889709473,2.0157905657196045,0.028965563526153565,0.46344901641845704,41.52,2.5205064064025877,0.5998883928571429
52,0.024214731023046793,1.2344023315429689,2.0068056520843505,0.02887493825316429,0.46199901205062865,44.38,2.348216100692749,0.5998883928571429
53,0.023430237011767167,1.2296434768676758,2.000106859893799,0.028698755898475647,0.45918009437561036,46.6,2.2570640632629395,0.5998883928571429
54,0.022647292167037144,1.2235168901062012,1.9909691536712646,0.02850403934955597,0.4560646295928955,45.71,2.3241210285186766,0.5998883928571429
55,0.0218666691608924,1.2189957906723023,1.9839391262817383,0.028378278414011002,0.45405245462417604,46.06,2.3019818576812745,0.5998883928571429
56,0.021089138373994232,1.2112086763381957,1.97239138092041,0.028126623171567916,0.45002597074508666,45.77,2.2969009567260743,0.5998883928571429
57,0.020315467135356886,1.2061720462799073,1.9646663317108155,0.0279798599845171,0.4476777597522736,45.38,2.3237522830963133,0.5998883928571429
58,0.019546418965086444,1.1980041455841064,1.9516807080078125,0.02777047414302826,0.44432758628845215,45.39,2.3183603092193605,0.5998883928571429
59,0.01878275282087863,1.1912397647857667,1.9424609634017944,0.02750116017460823,0.4400185627937317,44.29,2.388204244995117,0.5998883928571429
60,0.018025222349019272,1.1860244528961181,1.9349970040130615,0.027315743723511695,0.4370518995761871,45.97,2.322575983428955,0.5998883928571429
61,0.017274575140626323,1.1811600678253174,1.9265836982727051,0.02723352737426758,0.43573643798828127,45.44,2.343532551956177,0.5998883928571429
62,0.016531551993867716,1.1728084224700928,1.9150103032684327,0.026912908811569214,0.4306065409851074,43.99,2.4151935028076172,0.5998883928571429
63,0.01579688618288306,1.1652527364349365,1.9030856206512452,0.026713740854263306,0.4274198536682129,47.32,2.218865521621704,0.5998883928571429
