name,method,model,dataset,kd_formula,teacher_acc,best_epoch_target,best_acc_target,best_epoch_any,best_acc_any,reported_best_acc,reported_best_epoch,test_acc_subnet,test_loss_subnet,dense_params,nonzero_params,param_sparsity_literal,model_size_bytes,macs_baseline_dense,macs_compressed,macs_relative_percent,macs_compression_ratio,flops_compressed,bops_baseline_full_precision,bops,bops_fallback_used,latency_ms_bs1_device,fps_bs1_device,train_minutes,epochs,target_group_sparsity,sparsity_first_hit_epoch,final_group_sparsity,kd_temperature,kd_weight,effective_kd_coeff,loss_formula,kd_after_target_stable,vanilla_kd_start_stable_epochs,seed,device
GETA_VanillaKD_VGG7_TinyImageNet200,GETA+vanilla_KD,VGG7,TinyImageNet-200,additive,55.79,100,54.87,100,54.87,54.87,100,54.87,1.913942514,780967,780967,0,3154076,2430177280,329634992,13.56423643,7.372327996,659269984,2.4885E+12,84388234752,FALSE,4.294806719,232.8393489,498.2816092,100,0.6,16,0.599888393,3,0.08,0.72,CE + KD_WEIGHT*T^2*KL(student||teacher),TRUE,2,123,cuda
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,method,model,dataset,kd_formula,teacher_acc,best_epoch_target,best_acc_target,best_epoch_any,best_acc_any,reported_best_acc,reported_best_epoch,test_acc_subnet,test_loss_subnet,dense_params,nonzero_params,param_sparsity_literal,model_size_bytes,macs_baseline_dense,macs_compressed,macs_relative_percent,macs_compression_ratio,flops_compressed,bops_baseline_full_precision,bops,bops_fallback_used,latency_ms_bs1_device,fps_bs1_device,train_minutes,epochs,target_group_sparsity,sparsity_first_hit_epoch,final_group_sparsity,kd_temperature,kd_weight,effective_kd_coeff,loss_formula,kd_after_target_stable,vanilla_kd_start_stable_epochs,seed,device
GETA_VanillaKD_VGG7_TinyImageNet200,GETA+vanilla_KD,VGG7,TinyImageNet-200,additive,55.79,100,54.87,100,54.87,54.87,100,54.87,1.913942514,780967,780967,0,3154076,2430177280,329634992,13.56423643,7.372327996,659269984,2.4885E+12,84388234752,FALSE,4.294806719,232.8393489,498.2816092,100,0.6,16,0.599888393,3,0.08,0.72,CE + KD_WEIGHT*T^2*KL(student||teacher),TRUE,2,123,cuda
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,method,model,dataset,kd_formula,teacher_acc,best_epoch_target,best_acc_target,best_epoch_any,best_acc_any,reported_best_acc,reported_best_epoch,test_acc_subnet,test_loss_subnet,dense_params,nonzero_params,param_sparsity_literal,model_size_bytes,macs_baseline_dense,macs_compressed,macs_relative_percent,macs_compression_ratio,flops_compressed,bops_baseline_full_precision,bops,bops_fallback_used,latency_ms_bs1_device,fps_bs1_device,train_minutes,epochs,target_group_sparsity,sparsity_first_hit_epoch,final_group_sparsity,kd_temperature,kd_weight,effective_kd_coeff,loss_formula,kd_after_target_stable,vanilla_kd_start_stable_epochs,seed,device
GETA_VanillaKD_VGG7_TinyImageNet200,GETA+vanilla_KD,VGG7,TinyImageNet-200,additive,55.79,100,54.87,100,54.87,54.87,100,54.87,1.913942514,780967,780967,0,3154076,2430177280,329634992,13.56423643,7.372327996,659269984,2.4885E+12,84388234752,FALSE,4.294806719,232.8393489,498.2816092,100,0.6,16,0.599888393,3,0.08,0.72,CE + KD_WEIGHT*T^2*KL(student||teacher),TRUE,2,123,cuda
