epoch,lr,kd_ready,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,kd_weight,kd_temperature,effective_kd_coeff
1,0.05,0,0.18960377447128296,0.18960377447128296,0.0,0.0,83.07,0.5210084494113922,0.0,10.035486902509417,0.7455641371863229,0.0011719144365218068,0.0,3.0,0.0
2,0.04999451708687114,0,0.1938209191465378,0.1938209191465378,0.0,0.0,83.21,0.5160522885918617,0.0,9.918397222246442,0.7602003472191947,0.001997263573035265,0.0,3.0,0.0
3,0.04997807075247146,0,0.21059772445201874,0.21059772445201874,0.0,0.0,85.69,0.4301577673435211,0.0,9.75280339377267,0.7808995757784163,0.0029587346715353696,0.0,3.0,0.0
4,0.04995066821070679,0,0.22217970542907714,0.22217970542907714,0.0,0.0,82.63,0.5399673252105713,0.0,10.7521424974714,0.655982187816075,0.0015169599823171406,0.0,3.0,0.0
5,0.049912321481237615,0,0.22508544484138487,0.22508544484138487,0.0,0.0,85.52,0.452254430770874,0.0,11.089826038905553,0.6137717451368059,0.0008987203805840441,0.0,3.0,0.0
6,0.049863047384206834,0,0.22885481384515763,0.22885481384515763,0.0,0.0,83.73,0.5041227827072143,0.0,9.375617572239467,0.8280478034700667,0.0027879332441703548,0.0,3.0,0.0
7,0.04980286753286195,0,0.23489826992034912,0.23489826992034912,0.0,0.0,84.09,0.47486613669395444,0.0,9.779580865587507,0.7775523918015617,0.00299580877201931,0.0,3.0,0.0
8,0.049731808324074714,0,0.23256181935310363,0.23256181935310363,0.0,0.0,84.89,0.46731505117416383,0.0,9.407450335366386,0.8240687080792017,0.003376551201134654,0.0,3.0,0.0
9,0.04964990092676263,0,0.23538007976531983,0.23538007976531983,0.0,0.0,86.48,0.39885974724292755,0.0,9.643936838422503,0.7945078951971871,0.0034646049981737243,0.0,3.0,0.0
10,0.049557181268217225,0,0.23089394527435303,0.23089394527435303,0.0,0.0,84.27,0.5188429779529572,0.0,9.585883685520717,0.8017645393099104,0.0034879803487066446,0.0,3.0,0.0
11,0.049453690018345146,0,0.235974898853302,0.235974898853302,0.0,0.0,83.7,0.49922157258987426,0.0,8.286064147949219,0.9642419815063477,0.004799794256021934,0.0,3.0,0.0
12,0.04933947257182901,0,0.2336933925819397,0.2336933925819397,0.0,0.0,85.57,0.44685340476036073,0.0,8.652623585292272,0.918422051838466,0.003936709337202566,0.0,3.0,0.0
13,0.04921457902821578,0,0.23698919137954713,0.23698919137954713,0.0,0.0,85.6,0.4230973008155823,0.0,9.25883402143206,0.8426457473209925,0.003137150945674096,0.0,3.0,0.0
14,0.049079064169941455,0,0.2349586513376236,0.2349586513376236,0.0,0.0,85.47,0.44322185735702513,0.0,8.882948875427246,0.8896313905715942,0.0035819041409662794,0.0,3.0,0.0
15,0.048932987438301684,0,0.2327422426223755,0.2327422426223755,0.0,0.0,84.22,0.4867564775943756,0.0,8.58210039138794,0.9272374510765076,0.004649687658197114,0.0,3.0,0.0
16,0.048776412907378844,0,0.3786963708496094,0.3786963708496094,0.0,0.0,72.73,0.787347366142273,0.5993303571428571,8.172144344874791,0.9784819568906511,0.005447763550494399,0.0,3.0,0.0
17,0.048609409255937035,0,0.5501150803756714,0.5501150803756714,0.0,0.0,65.17,1.1491942279815675,0.5993303571428571,8.0,1.0,0.005632428269434188,0.0,3.0,0.0
18,0.04843204973729729,1,0.8806889939880371,0.4730499697303772,0.5661652886009216,0.4076390240764618,80.89,0.6441546684741973,0.5993303571428571,7.999999931880406,1.0,0.005844526076024132,0.08,3.0,0.72
19,0.04824441214720629,1,0.8152448627471924,0.4666101573944092,0.4842148495578766,0.34863470616340636,79.71,0.6693671738624573,0.5993303571428571,8.0,1.0,0.006031480551298175,0.08,3.0,0.72
20,0.04804657878971252,1,0.7788915414428711,0.4550404269218445,0.44979319704055787,0.32385111483573914,81.3,0.6261289319038391,0.5993303571428571,7.999999863760812,1.0,0.006234113426346864,0.08,3.0,0.72
21,0.04783863644106502,1,0.7636710802459716,0.4525273074531555,0.43214410956382754,0.3111437716960907,77.73,0.7855119306564331,0.5993303571428571,7.999999931880406,1.0,0.006414509777511869,0.08,3.0,0.72
