epoch,lr,train_loss,test_loss,top1,top5,best_top1,best_top5
260,0.0010000000000000002,1.7722056372833253,2.483587482833862,57.63,80.83,58.73,81.59
261,0.0010000000000000002,1.766259951095581,2.494144518661499,57.37,80.3,58.73,81.59
262,0.0010000000000000002,1.7663607916259765,2.4880474670410155,57.48,80.85,58.73,81.59
263,0.0010000000000000002,1.7663777326965333,2.4974345466613768,57.15,80.61,58.73,81.59
264,0.0010000000000000002,1.7611493658065795,2.5013633811950684,56.83,80.5,58.73,81.59
265,0.0010000000000000002,1.7622792251586914,2.509152364349365,56.75,80.15,58.73,81.59
266,0.0010000000000000002,1.7565103884124755,2.5018123630523683,57.14,80.72,58.73,81.59
267,0.0010000000000000002,1.7535992779922485,2.5083132537841797,56.95,80.26,58.73,81.59
268,0.0010000000000000002,1.7541875540161134,2.5229816402435303,56.48,80.09,58.73,81.59
269,0.0010000000000000002,1.7510958847808837,2.5214030601501465,56.6,79.9,58.73,81.59
270,0.0010000000000000002,1.7491100350189208,2.5149605812072755,56.95,80.0,58.73,81.59
271,0.0010000000000000002,1.7468331113433837,2.5070732891082765,56.88,80.34,58.73,81.59
272,0.0010000000000000002,1.746547409133911,2.519194917297363,56.46,80.29,58.73,81.59
273,0.0010000000000000002,1.7430716544342042,2.5243773460388184,56.97,80.09,58.73,81.59
274,0.0010000000000000002,1.741854829788208,2.5229278366088868,56.56,79.89,58.73,81.59
275,0.0010000000000000002,1.7426277761077882,2.5368785858154297,56.13,79.89,58.73,81.59
276,0.0010000000000000002,1.7403710612106322,2.526835697937012,56.43,80.14,58.73,81.59
277,0.0010000000000000002,1.738234527015686,2.53332106628418,56.38,79.81,58.73,81.59
278,0.0010000000000000002,1.7362305238342286,2.5188738346099853,56.65,79.84,58.73,81.59
279,0.0010000000000000002,1.7369750609970094,2.543685495376587,56.53,79.85,58.73,81.59
280,0.0010000000000000002,1.7349603925323487,2.541689638519287,56.53,79.84,58.73,81.59
281,0.0010000000000000002,1.7357667911529542,2.5448495376586915,56.54,79.8,58.73,81.59
282,0.0010000000000000002,1.7336710146713257,2.5293910705566405,56.14,80.09,58.73,81.59
283,0.0010000000000000002,1.7269220365142823,2.531097004699707,55.97,79.74,58.73,81.59
284,0.0010000000000000002,1.730024861831665,2.536056523513794,56.38,79.96,58.73,81.59
285,0.0010000000000000002,1.7284106663131713,2.5414992641448975,55.78,79.92,58.73,81.59
286,0.0010000000000000002,1.7260391028213502,2.5515304904937746,56.03,80.1,58.73,81.59
287,0.0010000000000000002,1.7269307504272462,2.5423204906463623,56.47,79.56,58.73,81.59
288,0.0010000000000000002,1.723815638961792,2.5415751594543456,56.13,79.76,58.73,81.59
289,0.0010000000000000002,1.7220270789718628,2.5539824474334716,56.11,79.84,58.73,81.59
290,0.0010000000000000002,1.7213033082199096,2.563696650314331,55.55,79.23,58.73,81.59
291,0.0010000000000000002,1.722015498123169,2.5667297313690187,56.45,79.75,58.73,81.59
292,0.0010000000000000002,1.7201935962677002,2.5654761264801027,55.74,79.61,58.73,81.59
293,0.0010000000000000002,1.7183202000427247,2.561863317108154,55.62,79.3,58.73,81.59
294,0.0010000000000000002,1.7184668488311767,2.5770300975799563,55.8,79.76,58.73,81.59
295,0.0010000000000000002,1.7174867458343506,2.5627668243408204,55.8,79.33,58.73,81.59
296,0.0010000000000000002,1.7177347233581544,2.572883827972412,55.61,78.91,58.73,81.59
297,0.0010000000000000002,1.7152110890960692,2.5756128528594973,55.6,79.17,58.73,81.59
298,0.0010000000000000002,1.7130677989959717,2.576734489440918,55.17,79.04,58.73,81.59
299,0.0010000000000000002,1.7133734591674805,2.5849091316223145,55.65,79.01,58.73,81.59
300,0.0010000000000000002,1.712734873199463,2.5903870944976806,55.47,79.41,58.73,81.59
