epoch,lr,train_loss,test_acc,test_loss,group_sparsity
1,0.05,0.311330157289505,85.71,0.4388767792224884,0.0
2,0.04999451708687114,0.2968974731254578,83.71,0.5074233379364014,0.0
3,0.04997807075247146,0.3033944888687134,85.56,0.42467331838607786,0.0
4,0.04995066821070679,0.3037045732021332,82.37,0.5397232349395752,0.0
5,0.049912321481237615,0.30830331095695496,85.09,0.4325215920448303,0.0
6,0.049863047384206834,0.3142175327205658,85.89,0.4154981331348419,0.0
7,0.04980286753286195,0.31113436421394347,80.03,0.6082992208480835,0.0
8,0.049731808324074714,0.31252076421737673,83.85,0.4883334223747253,0.0
9,0.04964990092676263,0.31175818323135374,83.21,0.5060099012374878,0.0
10,0.049557181268217225,0.3116803033447266,83.72,0.5012298820972443,0.0
11,0.049453690018345146,0.310663081035614,83.29,0.5079720692873001,0.0
12,0.04933947257182901,0.30955116771698,86.36,0.3930827661991119,0.0
13,0.04921457902821578,0.30782699177742007,85.28,0.4408391760826111,0.0
14,0.049079064169941455,0.31310425002098086,85.42,0.4389607974052429,0.0
15,0.048932987438301684,0.31481049631118774,86.24,0.4085208649635315,0.0
16,0.048776412907378844,0.6622706145858764,59.96,1.1329262073516846,0.5982142857142857
17,0.048609409255937035,0.9052880334091187,68.48,0.9026396352767945,0.5982142857142857
18,0.04843204973729729,0.7883853840065003,64.02,1.1015135778427123,0.5982142857142857
19,0.04824441214720629,0.7466456385612488,71.17,0.8301401114463807,0.5982142857142857
20,0.04804657878971252,0.7198015747642517,69.83,0.9129475939750671,0.5982142857142857
21,0.04783863644106502,0.6877747626686096,75.04,0.7291738273620606,0.5982142857142857
22,0.04762067631165049,0.6815334690475464,54.71,1.4241724750518798,0.5982142857142857
23,0.047392794005985325,0.6746752970314026,65.15,1.046529235649109,0.5982142857142857
24,0.04715508948078037,0.6582558526229858,69.96,0.8590871066093445,0.5982142857142857
25,0.04690766700109659,0.6544193703842163,72.98,0.8294852979660035,0.5982142857142857
26,0.04665063509461097,0.6504397057724,74.71,0.7400488067626954,0.5982142857142857
27,0.04638410650401267,0.6394474546432495,73.11,0.775552598285675,0.5982142857142857
28,0.04610819813755038,0.6281930908966065,74.09,0.7447193147659302,0.5982142857142857
29,0.04582303101775249,0.6275554792022705,72.43,0.824346952342987,0.5982142857142857
30,0.045528730228342605,0.6221376105308533,65.07,1.2273894411087036,0.5982142857142857
31,0.04522542485937369,0.615624161567688,65.69,1.130212387752533,0.5982142857142857
32,0.04491324795060491,0.6126900114631653,74.77,0.7584620709419251,0.5982142857142857
33,0.044592336433146,0.6087515797042846,74.02,0.782979531288147,0.5982142857142857
34,0.044262831069394735,0.6048995377731323,75.77,0.7215075736045837,0.5982142857142857
35,0.043924876391293916,0.5977801597976684,67.48,1.0347814544677734,0.5982142857142857
36,0.043578620636934864,0.6000657004547119,73.06,0.7914827104568481,0.5982142857142857
37,0.04322421568553529,0.5972779930114747,75.89,0.717757992553711,0.5982142857142857
38,0.04286181699082009,0.5897978865242004,76.99,0.6819715299606324,0.5982142857142857
39,0.04249158351283414,0.5930383296585083,66.09,1.0467511995315553,0.5982142857142857
40,0.04211367764821722,0.5805205334854125,72.33,0.8280498743057251,0.5982142857142857
41,0.04172826515897146,0.5881939192199707,77.33,0.6869609879493713,0.5982142857142857
42,0.04133551509975264,0.577871830406189,70.77,0.8881243847370147,0.5982142857142857
43,0.040935599743717244,0.5711420755004882,66.82,1.184646996498108,0.5982142857142857
44,0.040528694506957764,0.5716807987403869,79.07,0.6132186959266662,0.5982142857142857
45,0.040114977871559376,0.5703787372016906,70.01,1.0174634842872619,0.5982142857142857
46,0.03969463130731183,0.5648234099578857,77.12,0.6722366682052612,0.5982142857142857
47,0.0392678391921108,0.5676777478122711,77.06,0.6798324120521545,0.5982142857142857
48,0.038834788731083605,0.5627106171989441,74.54,0.804988094329834,0.5982142857142857
49,0.038395669874474916,0.5599748699569702,72.73,0.8382274866104126,0.5982142857142857
50,0.03795067523432826,0.5529876231193542,69.15,1.077044260406494,0.5982142857142857
51,0.037500000000000006,0.5550783493804932,77.5,0.6550119142532349,0.5982142857142857
52,0.037043841852542884,0.558730768547058,73.09,0.8147475242137909,0.5982142857142857
53,0.036582400877996545,0.5462505319976807,74.57,0.7902489252090454,0.5982142857142857
54,0.036115879479623185,0.5444813854408265,76.66,0.7032404173851013,0.5982142857142857
55,0.03564448228912682,0.5468125935745239,78.21,0.64551753282547,0.5982142857142857
56,0.035168416076895005,0.5433999724674224,77.25,0.673223131275177,0.5982142857142857
57,0.034687889661302575,0.5371016389274598,75.32,0.7631491213798522,0.5982142857142857
58,0.03420311381711696,0.5384025510501862,78.94,0.6350416590929031,0.5982142857142857
59,0.03371430118304538,0.5371934378623963,78.75,0.6327661999702454,0.5982142857142857
60,0.03322166616846458,0.5290443214035034,76.65,0.690566012096405,0.5982142857142857
61,0.032725424859373686,0.5298508486175537,78.64,0.6285425783157349,0.5982142857142857
62,0.03222579492361179,0.5241962561035156,77.41,0.7014922777175904,0.5982142857142857
63,0.031722995515381644,0.5202987936210632,78.71,0.62985216588974,0.5982142857142857
64,0.031217247179121367,0.5183411968040467,75.43,0.7493850078582763,0.5982142857142857
65,0.030708771752766397,0.5144148194026947,79.8,0.5955568373203277,0.5982142857142857
66,0.030197792270443988,0.5090273965835571,78.86,0.6227254844665527,0.5982142857142857
67,0.02968453286464312,0.5132189769077301,79.11,0.6302058497428894,0.5982142857142857
68,0.02916921866790256,0.5074132722377777,77.65,0.6952848713874817,0.5982142857142857
69,0.028652075714060296,0.5038555527305603,79.83,0.5830830904960632,0.5982142857142857
70,0.028133330839107608,0.4982594968986511,78.92,0.6428980167388916,0.5982142857142857
71,0.027613211581691346,0.5006584146213532,79.18,0.6032378469944,0.5982142857142857
72,0.02709194608330789,0.49221132785797117,81.35,0.5404035321712494,0.5982142857142857
73,0.02656976298823284,0.4914891753292084,79.08,0.6168185791015625,0.5982142857142857
74,0.026046891343229996,0.4933391524410248,80.63,0.562564232301712,0.5982142857142857
75,0.025523560497083927,0.4879183039855957,80.07,0.5840527560710908,0.5982142857142857
76,0.025,0.4864024109077454,80.24,0.5897399199485779,0.5982142857142857
77,0.024476439502916086,0.4856824604034424,79.75,0.6324559083938599,0.5982142857142857
78,0.02395310865677001,0.47972089430809023,80.1,0.5949897916316986,0.5982142857142857
79,0.023430237011767174,0.48141586589813234,80.61,0.589803781080246,0.5982142857142857
80,0.022908053916692112,0.47518917678833006,81.87,0.5395900403022766,0.5982142857142857
81,0.02238678841830867,0.46943964776992797,81.04,0.5749455756664276,0.5982142857142857
82,0.0218666691608924,0.4717371202659607,81.06,0.5812426919937134,0.5982142857142857
83,0.02134792428593972,0.46732858867645266,77.07,0.7109258951187134,0.5982142857142857
84,0.02083078133209744,0.46582171664237976,76.46,0.7130344256401062,0.5982142857142857
85,0.020315467135356886,0.4614443808555603,80.52,0.5878500738143921,0.5982142857142857
86,0.019802207729556015,0.4576065866470337,81.92,0.536838121509552,0.5982142857142857
87,0.019291228247233613,0.4543568707466126,81.24,0.5564955492019653,0.5982142857142857
88,0.018782752820878636,0.45287564829826354,82.18,0.5356984823226929,0.5982142857142857
89,0.018277004484618366,0.4427859639930725,80.76,0.5768759558677673,0.5982142857142857
90,0.017774205076388206,0.4448903066253662,81.68,0.5426061230659485,0.5982142857142857
91,0.017274575140626316,0.44407610503196715,76.72,0.7096850830078125,0.5982142857142857
92,0.01677833383153542,0.4379529996109009,78.15,0.6766103731632233,0.5982142857142857
93,0.016285698816954627,0.4345033055114746,82.66,0.528571142911911,0.5982142857142857
94,0.01579688618288306,0.43352613903999326,80.63,0.5726821890830993,0.5982142857142857
95,0.015312110338697428,0.42812655875205996,81.99,0.5258187177181244,0.5982142857142857
96,0.014831583923104994,0.42938102669715883,80.73,0.5848677958965302,0.5982142857142857
97,0.014355517710873185,0.4181396562194824,83.79,0.47798299102783204,0.5982142857142857
98,0.01388412052037682,0.41902508825302126,81.74,0.5320491924762726,0.5982142857142857
99,0.013417599122003463,0.4153179461479187,83.27,0.4940106469631195,0.5982142857142857
100,0.012956158147457115,0.40995222241401674,84.33,0.4595775394916534,0.5982142857142857
101,0.012499999999999995,0.40806341400146484,80.58,0.5907132771492004,0.5982142857142857
102,0.012049324765671748,0.40444668489456176,83.03,0.5035301723003387,0.5982142857142857
103,0.01160433012552509,0.4058481952667236,83.08,0.5070240077972412,0.5982142857142857
104,0.0111652112689164,0.3994635968399048,83.25,0.4962464293003082,0.5982142857142857
105,0.010732160807889211,0.39521406637191775,83.3,0.5110327415466308,0.5982142857142857
106,0.010305368692688175,0.39219859493255615,83.5,0.4848879867553711,0.5982142857142857
107,0.00988502212844063,0.38852556526184084,81.67,0.5369286434173584,0.5982142857142857
108,0.009471305493042243,0.38455889989852904,82.91,0.5100768139839172,0.5982142857142857
109,0.009064400256282757,0.38209649431228637,84.83,0.46163263959884643,0.5982142857142857
110,0.008664484900247372,0.3742292406654358,84.49,0.46269469079971315,0.5982142857142857
111,0.008271734841028545,0.3756454033088684,83.95,0.4810523874759674,0.5982142857142857
112,0.007886322351782783,0.3690693283653259,85.03,0.4446039427757263,0.5982142857142857
113,0.007508416487165862,0.3702035079574585,83.12,0.522445987701416,0.5982142857142857
114,0.007138183009179922,0.36704670608520507,82.86,0.5045794321060181,0.5982142857142857
115,0.006775784314464717,0.361480227060318,85.16,0.4426924301624298,0.5982142857142857
116,0.006421379363065142,0.3572960535621643,85.29,0.4388659090042114,0.5982142857142857
117,0.006075123608706093,0.3518209610080719,84.78,0.45455262298583987,0.5982142857142857
118,0.005737168930605272,0.3472546276855469,85.82,0.42675085687637326,0.5982142857142857
119,0.005407663566854007,0.3447361048698425,85.06,0.4470529625892639,0.5982142857142857
120,0.005086752049395094,0.3415436456394196,86.03,0.41720641784667967,0.5982142857142857
121,0.004774575140626317,0.3369962167167664,85.59,0.42983400464057925,0.5982142857142857
122,0.004471269771657399,0.3362399745607376,86.06,0.4138162385940552,0.5982142857142857
123,0.004176968982247515,0.3329152815246582,85.61,0.43062103967666626,0.5982142857142857
124,0.0038918018624496233,0.32909719284534455,86.21,0.4130246343135834,0.5982142857142857
125,0.003615893495987335,0.3256522209739685,85.73,0.42104339714050293,0.5982142857142857
126,0.003349364905389038,0.3245051570510864,85.52,0.42430989942550656,0.5982142857142857
127,0.0030923329989034107,0.3185398712730408,86.18,0.41285173001289366,0.5982142857142857
128,0.0028449105192196317,0.31853472368240354,85.84,0.4221159679889679,0.5982142857142857
129,0.002607205994014683,0.3142799190235138,86.38,0.4009505968570709,0.5982142857142857
130,0.0023793236883495163,0.3091622560596466,86.56,0.4135813252925873,0.5982142857142857
131,0.002161363558934981,0.31247887722969053,86.67,0.4012283369541168,0.5982142857142857
132,0.0019534212102874844,0.3099114380836487,86.76,0.3983770452976227,0.5982142857142857
133,0.0017555878527937164,0.3013102151060104,86.59,0.40645033283233645,0.5982142857142857
134,0.0015679502627027138,0.30227441740989686,86.45,0.4013076771736145,0.5982142857142857
135,0.001390590744062975,0.3000298689079285,86.79,0.3975135443687439,0.5982142857142857
136,0.0012235870926211618,0.2977358883190155,86.48,0.3996919363021851,0.5982142857142857
137,0.001067012561698319,0.2936529874610901,87.01,0.38585430583953856,0.5982142857142857
138,0.0009209358300585474,0.29353273416519166,87.29,0.3886715762138367,0.5982142857142857
139,0.0007854209717842232,0.2915896278476715,87.14,0.38443937320709226,0.5982142857142857
140,0.0006605274281709927,0.2886393269062042,87.12,0.39034350481033325,0.5982142857142857
141,0.0005463099816548606,0.2875064115524292,87.04,0.38581115593910215,0.5982142857142857
142,0.00044281873178278475,0.2829417967128754,87.19,0.38585514130592347,0.5982142857142857
143,0.00035009907323737546,0.28608577741622926,87.22,0.3843550211906433,0.5982142857142857
144,0.0002681916759252917,0.2827106314945221,87.33,0.3840539083957672,0.5982142857142857
145,0.0001971324671380559,0.28279693351745605,87.44,0.3825314826965332,0.5982142857142857
146,0.00013695261579316776,0.2843893559455872,87.45,0.38206986870765686,0.5982142857142857
147,8.767851876239075e-05,0.2809649957561493,87.24,0.38385427541732786,0.5982142857142857
148,4.933178929321103e-05,0.28363077421188354,87.25,0.3841956670284271,0.5982142857142857
149,2.192924752854042e-05,0.28083214918136595,87.34,0.3820551953792572,0.5982142857142857
150,5.482913128862511e-06,0.2794513049697876,87.32,0.3833604512691498,0.5982142857142857
