epoch,lr,train_loss,test_acc,test_loss,group_sparsity
1,0.05,2.52017146446228,50.87,2.2705799797058104,0.0
2,0.04998766400914329,1.7506199599456786,46.72,2.286834001159668,0.0
3,0.04995066821070679,1.7308360639190674,43.23,2.4281875865936278,0.0
4,0.049889049115077,1.7887893370056152,42.83,2.455423543167114,0.0
5,0.04980286753286195,1.857145590057373,43.8,2.400552766799927,0.0
6,0.04969220851487845,1.9026195918273925,44.42,2.3551640518188477,0.0
7,0.049557181268217225,1.9301458477020264,40.35,2.5534607917785643,0.0
8,0.049397919048468686,1.9545940950012206,41.89,2.462608101272583,0.0
9,0.04921457902821578,1.9638233170318604,39.99,2.560441011810303,0.0
10,0.04900734214192358,1.9690385759735107,41.05,2.5934827713012694,0.0
11,0.048776412907378844,1.9714735591888428,39.29,2.588477721786499,0.0
12,0.04852201922385564,1.9707818994140625,44.2,2.3568981105804445,0.0
13,0.04824441214720629,1.967426056060791,35.88,2.879822191619873,0.0
14,0.04794386564209953,1.9656945093536378,40.86,2.5539014820098878,0.0
15,0.04762067631165049,1.9583360206604004,37.94,2.7610245025634765,0.0
16,0.047275163104709195,2.202378104171753,12.21,5.513997933959961,0.5998883928571429
17,0.04690766700109659,2.7745760918426514,29.45,3.1559317714691164,0.5998883928571429
18,0.046518550675098594,2.5894682412719727,30.61,3.1259694248199463,0.5998883928571429
19,0.04610819813755038,2.5055439361572267,33.63,2.9036899913787844,0.5998883928571429
20,0.04567701435686405,2.4522125511169435,35.98,2.758104284286499,0.5998883928571429
21,0.04522542485937369,2.4148223321533204,34.83,2.8353294918060303,0.5998883928571429
22,0.04475387530939226,2.3804588832092284,33.43,3.070455069732666,0.5998883928571429
23,0.044262831069394735,2.3564060414886474,39.11,2.6253748306274414,0.5998883928571429
24,0.043752776740761494,2.3376700524902345,32.02,3.1107679122924803,0.5998883928571429
25,0.04322421568553529,2.3220918893432616,30.17,3.413648512649536,0.5998883928571429
26,0.04267766952966369,2.3041875337219238,33.68,2.954340756607056,0.5998883928571429
