epoch,lr,stage,train_loss,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error
1,0.05,warm-up,2.264977802429199,59.1,1.7722260452270509,0.0,12.597356276078658,0.42533046549016773,0.000276306150391809
2,0.04999451708687114,warm-up,1.5216236837005614,55.63,1.6914943622589111,0.0,12.313435251062566,0.4608205936171792,0.0004393366010204276
3,0.04997807075247146,warm-up,1.387482677345276,55.26,1.6680655113220215,0.0,11.24608529697765,0.5942393378777937,0.0007791447165304403
4,0.04995066821070679,warm-up,1.345076439628601,56.17,1.6294198806762696,0.0,10.832242662256414,0.6459696672179482,0.0009082143475428562
5,0.049912321481237615,warm-up,1.3385001503372191,53.71,1.7425333950042725,0.0,10.891465663909912,0.638566792011261,0.0010547006902263754
6,0.049863047384206834,warm-up,1.3239530667877197,55.33,1.6670149551391602,0.0,11.13343386216597,0.6083207672292537,0.0008330942873726599
7,0.04980286753286195,warm-up,1.3265191402435303,49.36,1.9700597297668456,0.0,11.091130820187656,0.613608647476543,0.0011731957831877728
8,0.049731808324074714,warm-up,1.3263839309310914,56.06,1.6184505348205567,0.0,10.95859345522794,0.6301758180965076,0.0011998791056839764
9,0.04964990092676263,warm-up,1.3246871530914306,52.13,1.797400182723999,0.0,10.269080942327326,0.7163648822090842,0.0013956338867005384
10,0.049557181268217225,warm-up,1.3276699250411987,52.19,1.7783822959899902,0.0,9.95707403529774,0.7553657455877825,0.001673217680284076
11,0.049453690018345146,projection,1.3232669313812255,52.03,1.7783436447143555,0.0,8.089059612967752,0.988867548379031,0.0052787307649850845
12,0.04933947257182901,projection,1.3228402434539794,54.8,1.6837690202713014,0.0,8.36146424033425,0.9548169699582187,0.004580437988889488
13,0.04921457902821578,projection,1.320809596977234,54.38,1.7051749963760376,0.0,8.528529990803111,0.9339337511496111,0.004150038182904775
14,0.049079064169941455,projection,1.3190705585479736,55.86,1.5989154809951782,0.0,8.8187687180259,0.8976539102467624,0.0037243947021620856
15,0.048932987438301684,projection,1.322723896446228,55.77,1.6359145233154297,0.0,9.138758659362793,0.8576551675796509,0.003460808555246331
16,0.048776412907378844,joint,2.5331291591644285,9.39,3.8013881172180177,0.5982142857142857,8.370211384513162,0.9537235769358547,0.004665745538659394
17,0.048609409255937035,joint,3.169436580429077,17.01,3.3432097442626953,0.5982142857142857,8.27272716435519,0.9659091044556012,0.004367776315616952
18,0.04843204973729729,joint,2.9122139753723144,24.27,2.9546725009918213,0.5982142857142857,8.272727251052856,0.9659090936183929,0.0042929306668652726
19,0.04824441214720629,joint,2.786904461593628,22.56,3.177965366744995,0.5982142857142857,8.272727207704024,0.965909099036997,0.0042437860604629596
20,0.04804657878971252,joint,2.6948327201843263,25.66,2.869710018157959,0.5982142857142857,8.27272722937844,0.9659090963276951,0.004305937502067536
21,0.04783863644106502,joint,2.629379384918213,28.03,2.7315908996582032,0.5982142857142857,8.27272722937844,0.9659090963276951,0.004375204697928645
22,0.04762067631165049,joint,2.584016940231323,23.91,3.1505379871368406,0.5982142857142857,8.272727186029607,0.9659091017462991,0.004439483290876855
23,0.047392794005985325,joint,2.546962386856079,28.99,2.731577555847168,0.5982142857142857,8.272727251052856,0.9659090936183929,0.004552952892316336
24,0.04715508948078037,joint,2.504148098602295,29.19,2.739888589477539,0.5982142857142857,8.272727207704024,0.965909099036997,0.00465730689889328
25,0.04690766700109659,joint,2.4827865952301025,30.2,2.649477934265137,0.5982142857142857,8.27272722937844,0.9659090963276951,0.004774958540854806
26,0.04665063509461097,joint,2.4615172621154784,26.48,2.975629200744629,0.5982142857142857,8.272727272727273,0.9659090909090908,0.004934036665045741
27,0.04638410650401267,joint,2.449424489440918,24.36,3.246861991119385,0.5982142857142857,8.272727251052856,0.9659090936183929,0.0050500587888315995
28,0.04610819813755038,joint,2.4236080545806886,33.01,2.524757567405701,0.5982142857142857,8.272727251052856,0.9659090936183929,0.005154795616611161
29,0.04582303101775249,joint,2.40767584274292,31.25,2.6223552112579345,0.5982142857142857,8.272727207704024,0.965909099036997,0.005290505052967505
30,0.045528730228342605,joint,2.392534429168701,31.62,2.5959229106903075,0.5982142857142857,8.272727207704024,0.965909099036997,0.005455259350128472
31,0.04522542485937369,joint,2.3733004499816897,30.96,2.6150732162475587,0.5982142857142857,8.272727251052856,0.9659090936183929,0.005548486115664921
32,0.04491324795060491,joint,2.3623766508483888,31.34,2.632590662765503,0.5982142857142857,8.272727186029607,0.9659091017462991,0.005676590170795945
33,0.044592336433146,joint,2.3522037368774416,32.59,2.5171771656036377,0.5982142857142857,8.27272722937844,0.9659090963276951,0.005800617218483239
34,0.044262831069394735,joint,2.338196997528076,33.15,2.515559906768799,0.5982142857142857,8.272727251052856,0.9659090936183929,0.005941132946066897
35,0.043924876391293916,joint,2.3365219728088378,31.22,2.65000260887146,0.5982142857142857,8.272727272727273,0.9659090909090908,0.006090375705918466
36,0.043578620636934864,joint,2.3262463607788084,33.18,2.5470001792907713,0.5982142857142857,8.272727272727273,0.9659090909090908,0.0061434371640313075
37,0.04322421568553529,joint,2.3156592084503176,22.09,3.432834210205078,0.5982142857142857,8.27272722937844,0.9659090963276951,0.006277907205830244
38,0.04286181699082009,joint,2.301033878631592,32.13,2.646179172515869,0.5982142857142857,8.272727251052856,0.9659090936183929,0.006449159245345403
39,0.04249158351283414,joint,2.2963617504119873,33.68,2.5073156330108644,0.5982142857142857,8.272727272727273,0.9659090909090908,0.006524381910408424
40,0.04211367764821722,joint,2.2821745993423463,37.21,2.3482121433258056,0.5982142857142857,8.272727251052856,0.9659090936183929,0.0066648942037400875
41,0.04172826515897146,joint,2.2764225843811037,26.03,3.013021798706055,0.5982142857142857,8.272727251052856,0.9659090936183929,0.006745963875966316
42,0.04133551509975264,joint,2.269474980392456,36.77,2.3600574686050413,0.5982142857142857,8.272727251052856,0.9659090936183929,0.006883915302089669
43,0.040935599743717244,joint,2.256196972427368,30.06,2.7611940811157227,0.5982142857142857,8.272727207704024,0.965909099036997,0.006941979851531373
44,0.040528694506957764,joint,2.255693568344116,36.06,2.4020709018707276,0.5982142857142857,8.27272722937844,0.9659090963276951,0.007094811785712161
45,0.040114977871559376,joint,2.240756291885376,29.23,2.79681568069458,0.5982142857142857,8.27272722937844,0.9659090963276951,0.00719918143956668
46,0.03969463130731183,joint,2.242382832489014,34.92,2.4556544231414796,0.5982142857142857,8.272727251052856,0.9659090936183929,0.007273987014989622
47,0.0392678391921108,joint,2.2334254251098633,35.26,2.4823916946411133,0.5982142857142857,8.27272722937844,0.9659090963276951,0.007422370169396428
48,0.038834788731083605,joint,2.222062274017334,32.87,2.699817444229126,0.5982142857142857,8.272727207704024,0.965909099036997,0.007546610500536521
49,0.038395669874474916,joint,2.213455358047485,37.18,2.331253010940552,0.5982142857142857,8.27272722937844,0.9659090963276951,0.007601124493786218
50,0.03795067523432826,joint,2.2029547143554686,38.44,2.2898973598480223,0.5982142857142857,8.27272722937844,0.9659090963276951,0.007703075227750974
51,0.037500000000000006,joint,2.202738321762085,36.96,2.373579746246338,0.5982142857142857,8.272727186029607,0.9659091017462991,0.007799499091395939
52,0.037043841852542884,joint,2.2001947688293457,37.84,2.342003285598755,0.5982142857142857,8.272727251052856,0.9659090936183929,0.007815391624304042
53,0.036582400877996545,joint,2.1906025288391113,36.61,2.4106880275726317,0.5982142857142857,8.272727272727273,0.9659090909090908,0.007914568625644526
54,0.036115879479623185,joint,2.181863785400391,36.7,2.3588865552902223,0.5982142857142857,8.272727272727273,0.9659090909090908,0.007997381590857085
55,0.03564448228912682,joint,2.1813275744628906,32.06,2.690122401046753,0.5982142857142857,8.27272722937844,0.9659090963276951,0.008082180987747217
56,0.035168416076895005,joint,2.1682226168823244,34.86,2.482514490509033,0.5982142857142857,8.27272722937844,0.9659090963276951,0.008197782370685176
57,0.034687889661302575,joint,2.169837126312256,36.17,2.4197674785614014,0.5982142857142857,8.272727251052856,0.9659090936183929,0.008244598607151684
58,0.03420311381711696,joint,2.1623857626342775,38.94,2.2865261100769043,0.5982142857142857,8.272727251052856,0.9659090936183929,0.008323235273234208
59,0.03371430118304538,joint,2.1547877332305907,38.61,2.2642894912719727,0.5982142857142857,8.272727272727273,0.9659090909090908,0.008413617552088743
60,0.03322166616846458,joint,2.142281425628662,40.03,2.2217916202545167,0.5982142857142857,8.27272722937844,0.9659090963276951,0.008530399476347322
61,0.032725424859373686,joint,2.1458052178955076,39.21,2.2557169384002687,0.5982142857142857,8.272727251052856,0.9659090936183929,0.008590238518081605
62,0.03222579492361179,joint,2.135044653625488,38.64,2.3269597484588624,0.5982142857142857,8.27272722937844,0.9659090963276951,0.008620610100809823
63,0.031722995515381644,joint,2.130395354385376,40.09,2.2318099292755127,0.5982142857142857,8.272727272727273,0.9659090909090908,0.008686181771653619
64,0.031217247179121367,joint,2.122499072189331,33.17,2.6509371585845947,0.5982142857142857,8.27272722937844,0.9659090963276951,0.008709532764359292
65,0.030708771752766397,joint,2.1179373468780516,38.4,2.330750790023804,0.5982142857142857,8.272727272727273,0.9659090909090908,0.008783288278870961
66,0.030197792270443988,cool-down,2.1143261738586427,36.2,2.4400982425689697,0.5982142857142857,8.272727186029607,0.9659091017462991,0.008872643229551613
