epoch,lr,train_loss,test_acc,test_loss
1,0.1,1.907540654335022,39.0,1.6490161375045775
2,0.09999383162408304,1.4995513529586793,49.34,1.4230380805969238
3,0.09997532801828658,1.1892470167732239,53.45,1.3614928060531617
4,0.09994449374809851,0.9450825493621826,62.71,1.1351125804901123
5,0.09990133642141359,0.7993523085594177,68.11,0.9597950647354127
6,0.09984586668665642,0.7154112673759461,66.27,0.9783453472137451
7,0.09977809823015402,0.6575904516792297,73.79,0.7544727395057679
8,0.09969804777275901,0.6111298657798767,76.23,0.7202218076705933
9,0.09960573506572391,0.5901939917564392,74.1,0.8102612329483032
10,0.09950118288582789,0.5672001745605468,77.24,0.6653963468551636
11,0.09938441702975691,0.5502983191680908,65.65,1.096214831352234
12,0.09925546630773871,0.530033199634552,75.8,0.7346016519546509
13,0.09911436253643445,0.5219973869132996,78.6,0.6538705380439759
14,0.0989611405310883,0.5019336994171143,69.83,1.0502333913803101
15,0.09879583809693739,0.49892943634033204,73.49,0.764065057182312
16,0.09861849601988384,0.48485590148925783,77.96,0.6816168137550354
17,0.09842915805643157,0.48254806769371034,58.21,1.8101635848999023
18,0.09822787092288993,0.4688823832321167,78.1,0.6522781601905823
19,0.09801468428384717,0.4700755320262909,69.45,1.0671716603279113
20,0.09778965073991652,0.45975029260635375,81.62,0.5401648998260498
21,0.0975528258147577,0.45578769411087033,74.88,0.8194553539276123
22,0.09730426794137728,0.44387636346817017,79.14,0.6374652961730957
23,0.09704403844771128,0.44926313428878784,80.84,0.5795613454818725
24,0.09677220154149338,0.4476010492706299,79.89,0.6144100035190583
25,0.09648882429441258,0.43760396026611326,82.58,0.5250615232467651
26,0.09619397662556435,0.43298137850761415,80.45,0.5913414072036743
27,0.09588773128419906,0.43268778378486633,69.49,1.047406813621521
28,0.09557016383177226,0.4341708970069885,74.5,0.9074114645004272
29,0.09524135262330098,0.4221366877746582,81.69,0.5305402777671814
30,0.09490137878803079,0.41581884605407715,72.56,0.8701370944976806
31,0.0945503262094184,0.4218853899002075,77.7,0.6668977546691894
32,0.0941882815044347,0.4187710062789917,76.43,0.7147433307647705
33,0.09381533400219319,0.4165432452201843,72.15,1.0665825560569764
34,0.09343157572190958,0.40821146432876587,81.86,0.5193106545448303
35,0.0930371013501972,0.40616630316734315,79.81,0.6396556647300721
36,0.09263200821770463,0.4073778779220581,80.38,0.6149088148117066
37,0.09221639627510078,0.4079415700340271,81.84,0.5348543092727661
38,0.09179036806841355,0.4042106112480164,82.33,0.5172337768554688
39,0.09135402871372812,0.3971934494304657,79.08,0.6549301511764526
40,0.0909074858712512,0.39561546993255614,82.36,0.5400336989402771
41,0.09045084971874741,0.3950573462200165,82.15,0.5395014817237854
42,0.08998423292435458,0.39050916110992434,77.7,0.713713929271698
43,0.08950775061878455,0.3984488741016388,77.78,0.6901918988227844
44,0.08902152036691653,0.3874761632156372,82.19,0.5548325937271118
45,0.08852566213878951,0.38513356722831726,80.87,0.5549813432216645
46,0.0880202982800016,0.3838787112522125,78.46,0.6637960984230041
47,0.08750555348152303,0.3828104955291748,79.51,0.6524287107944489
48,0.08698155474893052,0.37909887491226196,80.92,0.6084127868652344
49,0.08644843137107061,0.37663655749320984,80.67,0.5941036504745484
50,0.08590631488815947,0.37232554986953736,79.94,0.6543995746612549
51,0.0853553390593274,0.36871142897605896,79.81,0.6387143381118774
52,0.08479563982961574,0.37447408920288083,84.55,0.45110280599594116
53,0.08422735529643446,0.3731814601612091,81.45,0.5589586408376693
54,0.08365062567548869,0.3659776423740387,76.82,0.7820901408195495
55,0.08306559326618261,0.3640444547843933,79.67,0.6507518383979798
56,0.0824724024165092,0.35997252455711365,83.33,0.5079348734140396
57,0.0818711994874345,0.36362574384689333,83.8,0.500401199388504
58,0.08126213281678528,0.3609324264717102,82.39,0.5498421585798263
59,0.08064535268264884,0.36174475176811216,79.48,0.6397471400260926
60,0.08002101126629421,0.3554952466773987,84.86,0.45893101644515993
61,0.07938926261462367,0.35430295652389526,84.98,0.4605557698249817
62,0.07875026260216395,0.351305100107193,84.04,0.47771908864974977
63,0.07810416889260656,0.3543798667049408,77.94,0.7517730098724366
64,0.07745114089990661,0.34889242480278015,83.4,0.5219049090385437
65,0.07679133974894985,0.34388043970108034,82.96,0.5106049706459045
66,0.07612492823579746,0.34239978875160215,86.35,0.4148772864341736
67,0.07545207078751859,0.34379722396850587,82.29,0.5395559847354889
68,0.0747729334216204,0.3418258950614929,84.0,0.4802750697135925
69,0.07408768370508578,0.3365179717350006,83.04,0.5134715824127197
70,0.0733964907130287,0.3357965318107605,84.75,0.44773264932632445
71,0.07269952498697736,0.33273629356384277,85.57,0.4318172457933426
72,0.07199695849279578,0.3316015918159485,84.81,0.4537144129753113
73,0.07128896457825366,0.32902183985710143,84.44,0.467946613407135
74,0.07057571793025548,0.32587986676216124,81.83,0.5936507949829102
75,0.06985739453173906,0.3244115146446228,82.41,0.5271085424423217
76,0.06913417161825453,0.3192003365898132,84.01,0.4953869348526001
77,0.06840622763423394,0.3234131064224243,85.08,0.44055895109176635
78,0.0676737421889629,0.31834839948654176,83.07,0.4980755581855774
79,0.06693689601226462,0.3118705414009094,80.94,0.5820660020112991
80,0.06619587090990751,0.31511631216049196,86.06,0.3989829978942871
81,0.06545084971874741,0.3091358537864685,82.19,0.5354177752971649
82,0.06470201626161524,0.30413969727516177,85.41,0.4407020961761475
83,0.06394955530196152,0.30775612863540647,85.68,0.42762752232551576
84,0.06319365249826868,0.30347953388690946,86.32,0.40703682250976564
85,0.06243449435824277,0.3003966854476929,82.46,0.5502588893890381
86,0.06167226819279532,0.29747526014328,81.17,0.5866331214904785
87,0.06090716206982718,0.3041995240592957,86.39,0.40158094816207884
88,0.06013936476782568,0.29359096771240234,81.21,0.598618958568573
89,0.05936906572928629,0.2901914980697632,84.5,0.4765753623962402
90,0.05859645501397052,0.2859115511608124,83.25,0.5073956820964813
91,0.05782172325201159,0.28841477935791016,81.88,0.5571913469314576
92,0.057045061596879186,0.2887103218841553,84.98,0.45101958503723144
93,0.056266661678215264,0.277891051030159,86.17,0.4191108700275421
94,0.055486715554552306,0.2761691141414642,80.74,0.6522102882385253
95,0.05470541566592575,0.27671973576545716,81.49,0.5756090955734253
96,0.05392295478639229,0.2737638372182846,85.26,0.4377804121017456
97,0.05313952597646571,0.2764744406890869,86.99,0.3963995874404907
98,0.05235532253548216,0.2669452780723572,85.9,0.432160107421875
99,0.051570537953906447,0.2660756172847748,87.39,0.38535478506088255
100,0.05078536586559106,0.2577390012168884,85.72,0.4281719484329224
101,0.050000000000000024,0.2580913478946686,83.8,0.5005225192546845
102,0.049214634134409,0.25922189977645876,86.92,0.4086999925613403
103,0.04842946204609361,0.25606770263671874,83.9,0.5205121201515198
104,0.04764467746451789,0.25322190887451174,84.23,0.4715628035545349
105,0.046860474023534354,0.24230552295684815,85.68,0.441635115981102
106,0.04607704521360778,0.24512332609176635,83.2,0.5425761509895325
107,0.04529458433407431,0.24715794238090516,88.08,0.3628466332435608
108,0.04451328444544776,0.2393250880432129,87.92,0.3858770405292511
109,0.04373333832178482,0.2322302293586731,87.51,0.37850645117759707
110,0.0429549384031209,0.23499676752090454,84.65,0.48661338300704954
111,0.042178276747988484,0.23670145035743714,88.34,0.36340478954315186
112,0.04140354498602954,0.2274136574935913,87.4,0.382870717048645
113,0.0406309342707138,0.21842453740119935,86.31,0.42302701320648195
114,0.03986063523217441,0.22028284928798675,87.4,0.3976476097583771
115,0.039092837930172916,0.22426669452190398,88.64,0.3431549612045288
116,0.03832773180720475,0.21787555775165557,88.28,0.35640949289798735
117,0.037565505641757285,0.21181676692008972,88.14,0.3613670072555542
118,0.03680634750173138,0.2022886369228363,84.37,0.5292994052290917
119,0.036050444698038565,0.20717142091274263,86.92,0.4013932566642761
120,0.03529798373838483,0.20221178557395936,87.44,0.3901363805770874
121,0.03454915028125267,0.20593134917736053,85.63,0.4455029996395111
122,0.03380412909009255,0.19831098407745362,89.02,0.33753225100040435
123,0.03306310398773545,0.19621351212024687,89.8,0.31221930990219116
124,0.03232625781103717,0.18820507932662964,87.43,0.39373295192718505
125,0.03159377236576613,0.1909099074268341,87.7,0.3949062238693237
126,0.030865828381745543,0.18619334184885025,87.87,0.3722277272701263
127,0.03014260546826098,0.17460169040203094,89.0,0.3438318413734436
128,0.02942428206974458,0.17886546141624451,89.33,0.33988692615032196
129,0.028711035421746387,0.17774367532730104,88.63,0.36302840871810915
130,0.02800304150720426,0.17093158407211304,87.56,0.4008179696321487
131,0.02730047501302268,0.1658596549987793,87.9,0.39944660968780515
132,0.026603509286971357,0.16086783583164216,88.41,0.36614472814798354
133,0.025912316294914244,0.15305159319877623,87.59,0.40923880195617673
134,0.025227066578379632,0.15881531673431395,89.82,0.32665100319385526
135,0.024547929212481445,0.15178417615890502,89.63,0.33404138255119326
136,0.02387507176420257,0.15200767234802245,89.96,0.3228862419128418
137,0.023208660251050166,0.1470880003452301,89.26,0.3505275218009949
138,0.022548859100093414,0.14190625946760177,88.75,0.3586378149032593
139,0.021895831107393474,0.13383874313354494,90.03,0.31971657042503354
140,0.02124973739783608,0.13293453121185303,89.95,0.3249015434265137
141,0.02061073738537636,0.13075614829063414,89.93,0.3308324338912964
142,0.019978988733705814,0.12380630362987519,90.98,0.29379397444725036
143,0.01935464731735118,0.12085133779287338,90.58,0.30043374829292296
144,0.018737867183214747,0.11703230686187745,89.56,0.3398382368564606
145,0.01812880051256552,0.1180392187345028,90.01,0.32274050312042235
146,0.017527597583490827,0.11017794152021408,90.79,0.29838668541908264
147,0.01693440673381742,0.10515913445949554,90.61,0.3170557270050049
148,0.016349374324511334,0.10287865869045258,90.8,0.306229626083374
149,0.01577264470356557,0.09994347603797912,90.34,0.32108462991714476
150,0.01520436017038429,0.09517673599720002,91.35,0.29116025476455687
151,0.014644660940672632,0.08950166510581971,91.22,0.2978974285125732
152,0.01409368511184057,0.08945221691131591,90.82,0.29644628055095673
153,0.013551568628929438,0.08511084163665772,91.07,0.3066563349723816
154,0.013018445251069516,0.08133002011299133,91.4,0.30711485962867735
155,0.012494446518477026,0.07572099264621734,91.25,0.30810096056461334
156,0.011979701719998459,0.0693788688659668,91.55,0.2917430316448212
157,0.011474337861210548,0.0705270031785965,91.29,0.30260983924865725
158,0.010978479633083526,0.06486286271810532,91.72,0.2878635025024414
159,0.010492249381215483,0.057347471282482146,91.3,0.320953453707695
160,0.010015767075645474,0.05991388714432716,92.42,0.2687322790384293
161,0.009549150281252637,0.0512024548304081,92.8,0.26324616136550905
162,0.00909251412874884,0.0477409028172493,92.6,0.25856301770210266
163,0.008645971286271918,0.04692775715231896,91.83,0.30011245746612547
164,0.008209631931586501,0.04216706540077925,92.31,0.2771981736421585
165,0.0077836037248992605,0.03852669333636761,92.3,0.28997546787261963
166,0.0073679917822954055,0.03390923018693924,91.8,0.32309453172683716
167,0.006962898649802815,0.03220204840183258,93.01,0.2642275760650635
168,0.006568424278090438,0.026476869883537292,92.99,0.2730389203071594
169,0.006184665997806824,0.02607350132167339,92.62,0.2788104716300964
170,0.00581171849556533,0.02589396215736866,92.8,0.26938104429244997
171,0.0054496737905816136,0.01975200365394354,93.1,0.2727400424003601
172,0.005098621211969226,0.01819851422548294,93.35,0.2620862612724304
173,0.004758647376699035,0.017499605677127838,93.04,0.27639145092964174
174,0.00442983616822775,0.014048917956650257,93.39,0.2639328000068665
175,0.004112268715800957,0.013200588027834892,93.44,0.2736423086643219
176,0.003806023374435677,0.011083101675361395,93.79,0.25503381567001343
177,0.003511175705587435,0.011081244300305843,93.92,0.25028007950782777
178,0.0032277984585066333,0.008440774189829827,93.71,0.2590757839679718
179,0.002955961552288729,0.007908646813631058,93.84,0.2503028321310878
180,0.0026957320586227366,0.007800567789077758,93.95,0.24886793575286864
181,0.002447174185242325,0.006406182562857866,93.88,0.2509021454975009
182,0.0022103492600834954,0.006240617405027151,94.16,0.2469453498363495
183,0.0019853157161528537,0.005458163720816374,94.16,0.24707556443214415
184,0.001772129077110103,0.0049162198243290186,94.03,0.2513400614261627
185,0.0015708419435684529,0.004681773276776075,94.06,0.24704947800636293
186,0.0013815039801161732,0.004609563050717115,94.28,0.24598242483139038
187,0.0012041619030626347,0.004646901748627424,94.16,0.2470874746322632
188,0.0010388594689117077,0.004070891528278589,94.12,0.24762052116394043
189,0.0008856374635655645,0.004007394062876701,93.99,0.24843826932907104
190,0.000744533692261307,0.003933828052580356,94.02,0.2504641969680786
191,0.0006155829702431174,0.0035660708033666013,94.2,0.25017132205963133
192,0.0004988171141721235,0.003836522982791066,94.19,0.24828691110610962
193,0.00039426493427611206,0.0033822980938479305,94.26,0.2466540683746338
194,0.00030195222724102046,0.0035332798011600973,94.09,0.24594352922439575
195,0.00022190176984600036,0.0034505070950090885,94.23,0.24293951559066773
196,0.00015413331334360192,0.003358907122313976,94.17,0.24863555870056153
197,9.866357858642213e-05,0.0034235654857754706,94.26,0.24545028944015504
198,5.5506251901504864e-05,0.003377787814065814,94.29,0.24586199893951416
199,2.4671981713420017e-05,0.0032358118362724782,94.09,0.24415909681320191
200,6.168375916970619e-06,0.0032418909037113188,94.2,0.2451820065498352
