epoch,lr,stage,train_loss,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error
1,0.05,warm-up,2.7579476001739502,63.53,1.9005322216033935,0.0,11.354502269199916,0.5806872163500105,0.00088618112723842
2,0.04999451708687114,warm-up,1.435365571937561,64.63,1.4265442909240722,0.0,10.748264857700892,0.6564668927873885,0.001078356699768587
3,0.04997807075247146,warm-up,0.9988744723510742,62.83,1.370729362297058,0.0,9.918811798095703,0.7601485252380371,0.0013203990903483437
4,0.04995066821070679,warm-up,0.8921685185623169,63.07,1.3559394649505616,0.0,10.330141748700823,0.7087322814123971,0.0013895084183397038
5,0.049912321481237615,warm-up,0.8519107432746887,62.83,1.3446189931869508,0.0,10.787571907043457,0.6515535116195679,0.0009418830491735467
6,0.049863047384206834,warm-up,0.8361526922225953,62.03,1.4082866485595704,0.0,9.771263667515345,0.7785920415605818,0.001965579585105713
7,0.04980286753286195,warm-up,0.8361052730178833,62.28,1.3927425012588501,0.0,9.451165471758161,0.8186043160302299,0.002564568222234292
8,0.049731808324074714,warm-up,0.8432012897491455,63.13,1.3454729713439941,0.0,10.013556821005684,0.7483053973742895,0.0025960753908813266
9,0.04964990092676263,warm-up,0.8427602867507935,59.23,1.5161939012527466,0.0,10.38635846546718,0.7017051918166024,0.0024666957792110872
10,0.049557181268217225,warm-up,0.8486925917053223,62.87,1.3524201526641846,0.0,10.568489347185407,0.6789388316018241,0.0015244585728006704
11,0.049453690018345146,projection,0.8611054220199585,59.32,1.5068709990501403,0.0,8.23389938899449,0.9707625763756889,0.00603057151394231
12,0.04933947257182901,projection,0.8638109308624268,59.29,1.5618210021972656,0.0,8.903600011553083,0.8870499985558646,0.0044174765103629655
13,0.04921457902821578,projection,0.8667038768196106,60.49,1.4654932594299317,0.0,9.258422987801689,0.8426971265247889,0.003820798426334347
14,0.049079064169941455,projection,0.8815027111816406,57.6,1.6207302396774292,0.0,9.180845124380928,0.852394359452384,0.003865836321243218
15,0.048932987438301684,projection,0.8831886977005005,62.5,1.3774181995391845,0.0,9.105708803449359,0.8617863995688302,0.003928872856444546
16,0.048776412907378844,joint,1.704006692504883,32.9,2.587990483093262,0.5993303571428571,8.105289322989327,0.9868388346263341,0.007562769576907158
17,0.048609409255937035,joint,2.217250168800354,35.42,2.5766113464355467,0.5993303571428571,8.0,1.0,0.007967193012258835
18,0.04843204973729729,joint,2.008290453338623,40.11,2.272433225250244,0.5993303571428571,8.0,1.0,0.008161425357684493
