epoch,lr,kd_ready,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,kd_weight,kd_temperature,effective_kd_coeff
1,0.05,0,1.4496673053741456,1.4496673053741456,0.0,0.0,63.14,1.5446509726524353,0.0,12.70463754390848,0.4119203070114399,0.0003424919634888848,0.0,3.0,0.0
2,0.04999451708687114,0,0.9050223471832275,0.9050223471832275,0.0,0.0,63.32,1.4359360662460328,0.0,12.266585810431119,0.46667677369611016,0.0005021588034933615,0.0,3.0,0.0
3,0.04997807075247146,0,0.8928161214828492,0.8928161214828492,0.0,0.0,61.03,1.5216380378723144,0.0,11.887527186295081,0.5140591017131149,0.0007048126719288622,0.0,3.0,0.0
4,0.04995066821070679,0,0.918769241065979,0.918769241065979,0.0,0.0,60.18,1.5623834129333496,0.0,11.696424796663482,0.5379469004170647,0.0009470028932333928,0.0,3.0,0.0
5,0.049912321481237615,0,0.9416522794342042,0.9416522794342042,0.0,0.0,59.35,1.5654630718231202,0.0,11.610104593737372,0.5487369257828285,0.0010297821590311601,0.0,3.0,0.0
6,0.049863047384206834,0,0.9559689129257202,0.9559689129257202,0.0,0.0,60.86,1.5000169158935548,0.0,11.285632585657053,0.5892959267928684,0.0012930189565912738,0.0,3.0,0.0
7,0.04980286753286195,0,0.974520399017334,0.974520399017334,0.0,0.0,58.59,1.597842978668213,0.0,11.238675676543137,0.5951655404321079,0.0012220104962705528,0.0,3.0,0.0
8,0.049731808324074714,0,1.0081716156768799,1.0081716156768799,0.0,0.0,60.31,1.5024616287231445,0.0,11.367445107164054,0.5790693616044933,0.0011244532943237573,0.0,3.0,0.0
9,0.04964990092676263,0,1.018608821029663,1.018608821029663,0.0,0.0,56.29,1.6762180227279664,0.0,11.887777731336396,0.5140277835829505,0.001125417042415173,0.0,3.0,0.0
10,0.049557181268217225,0,1.028282611808777,1.028282611808777,0.0,0.0,57.39,1.6175812042236328,0.0,11.873194669855051,0.5158506662681186,0.0010788888967852017,0.0,3.0,0.0
11,0.049453690018345146,0,1.0505448819732666,1.0505448819732666,0.0,0.0,57.11,1.620951469898224,0.0,8.057305155129269,0.9928368556088414,0.007849709861430115,0.0,3.0,0.0
12,0.04933947257182901,0,1.056092927017212,1.056092927017212,0.0,0.0,58.99,1.5374919414520263,0.0,8.211710157065555,0.9735362303668056,0.0073496995710543005,0.0,3.0,0.0
13,0.04921457902821578,0,1.0743014074707031,1.0743014074707031,0.0,0.0,58.45,1.5613550109863281,0.0,8.329081962848532,0.9588647546439335,0.007113532410083531,0.0,3.0,0.0
14,0.049079064169941455,0,1.0762660791397094,1.0762660791397094,0.0,0.0,58.42,1.5743066070556642,0.0,8.378075024177289,0.9527406219778389,0.006890328552830836,0.0,3.0,0.0
15,0.048932987438301684,0,1.0788474082756043,1.0788474082756043,0.0,0.0,55.99,1.7044617181777955,0.0,8.508580906637784,0.936427386670277,0.0066757184716246636,0.0,3.0,0.0
16,0.048776412907378844,0,1.7440129304504395,1.7440129304504395,0.0,0.0,31.66,2.720681732940674,0.6,8.313719486368113,0.9607850642039859,0.006923411582427998,0.0,3.0,0.0
17,0.048609409255937035,0,2.0719108658599854,2.0719108658599854,0.0,0.0,39.55,2.325924855041504,0.6,8.258620656769851,0.9676724179037686,0.006787830403732971,0.0,3.0,0.0
18,0.04843204973729729,1,2.019515774002075,1.8631744464111328,0.21714072353839875,0.15634132690906524,42.78,2.143248059463501,0.6,8.25862063210586,0.9676724209867675,0.006775260319861038,0.08,3.0,0.72
19,0.04824441214720629,1,1.9066492533874513,1.7652512429046632,0.19638611478328705,0.14139800850391387,46.35,1.996305891418457,0.6,8.25862063210586,0.9676724209867675,0.006776806285227488,0.08,3.0,0.72
20,0.04804657878971252,1,1.831928777961731,1.697264393348694,0.18703386187076568,0.13466438588142396,43.1,2.1579451179504394,0.6,8.258620656769851,0.9676724179037686,0.006751492246182571,0.08,3.0,0.72
21,0.04783863644106502,1,1.7938033525085448,1.6622765487289428,0.1826761097764969,0.1315268041086197,49.33,1.8625970169067383,0.6,8.25862064854852,0.967672418931435,0.006843229713608864,0.08,3.0,0.72
22,0.04762067631165049,1,1.754093254737854,1.6258237511825562,0.17815208263397217,0.12826950506925583,49.98,1.8202444286346435,0.6,8.25862062388453,0.9676724220144337,0.006902986629625204,0.08,3.0,0.72
23,0.047392794005985325,1,1.7319757011795045,1.6053813537979127,0.17582547768115997,0.1265943488931656,49.56,1.8567954109191895,0.6,8.258620673212512,0.967672415848436,0.006995542237840207,0.08,3.0,0.72
24,0.04715508948078037,1,1.711531612548828,1.586539249267578,0.1736005018186569,0.12499236614704132,50.41,1.839762027168274,0.6,8.258620673212512,0.967672415848436,0.0070547829803625315,0.08,3.0,0.72
25,0.04690766700109659,1,1.690385882949829,1.5666488311386109,0.1718570117998123,0.12373705318450928,49.69,1.8665711351394654,0.6,8.258620673212512,0.967672415848436,0.007213442062493414,0.08,3.0,0.72
26,0.04665063509461097,1,1.6719766410064698,1.5493688446044922,0.17028859786510467,0.12260779525518417,49.41,1.8790059804916381,0.6,8.2586206156632,0.9676724230421001,0.00731530782951299,0.08,3.0,0.72
27,0.04638410650401267,1,1.6583348946762084,1.5364807759857178,0.16924182252407075,0.12185411706447602,50.49,1.860821107673645,0.6,8.25862062388453,0.9676724220144337,0.007440947050405345,0.08,3.0,0.72
28,0.04610819813755038,1,1.644720211906433,1.5237305820465088,0.16804114337921142,0.1209896280670166,50.75,1.8404106624603271,0.6,8.258620673212512,0.967672415848436,0.007574926443590686,0.08,3.0,0.72
29,0.04582303101775249,1,1.636064981994629,1.5157252415847777,0.16713852283000946,0.12033974110841751,51.69,1.769617444419861,0.6,8.25862066499118,0.9676724168761024,0.007690355045207101,0.08,3.0,0.72
30,0.045528730228342605,1,1.6212415340423585,1.5010386929321289,0.1669483827495575,0.12020284019947051,51.83,1.7667725605010987,0.6,8.25862062388453,0.9676724220144337,0.007820584670768986,0.08,3.0,0.72
31,0.04522542485937369,1,1.6093508589172363,1.4897980212020874,0.16604560060977935,0.1195528372001648,51.67,1.7621501335144043,0.6,8.25862063210586,0.9676724209867675,0.00796515663989402,0.08,3.0,0.72
32,0.04491324795060491,1,1.6006637398529053,1.4818318310546874,0.16504431304454803,0.11883191005706788,51.28,1.8127018562316894,0.6,8.25862064854852,0.967672418931435,0.00809237520523562,0.08,3.0,0.72
33,0.044592336433146,1,1.5942563430023193,1.4759905578994752,0.16425802719116211,0.11826578429222107,53.13,1.7461307929992675,0.6,8.25862063210586,0.9676724209867675,0.008251938547393114,0.08,3.0,0.72
34,0.044262831069394735,1,1.5924212915802003,1.4743865912246703,0.16393708255767822,0.11803470423460007,54.8,1.6508432052612305,0.6,8.2586206156632,0.9676724230421001,0.008367168941888315,0.08,3.0,0.72
35,0.043924876391293916,1,1.5837036641693116,1.4661978552627564,0.16320250534057618,0.11750580855846406,51.29,1.7946351734161377,0.6,8.25862066499118,0.9676724168761024,0.008516804547980428,0.08,3.0,0.72
36,0.043578620636934864,1,1.5778189826965332,1.4606486072540283,0.1627366251850128,0.11717037452936173,55.95,1.6006162687301635,0.6,8.25862062388453,0.9676724220144337,0.008663457906644407,0.08,3.0,0.72
37,0.04322421568553529,1,1.5680033477401734,1.4511478919219971,0.16229923771381377,0.11685545599937439,50.78,1.831447668838501,0.6,8.25862064854852,0.967672418931435,0.008759951419678742,0.08,3.0,0.72
38,0.04286181699082009,1,1.5621545401000976,1.4455539063262939,0.1619453195667267,0.11660063450574874,52.44,1.7306764562606811,0.6,8.25862064854852,0.967672418931435,0.008934692772715512,0.08,3.0,0.72
39,0.04249158351283414,1,1.5637885530471802,1.4478777555465698,0.16098721067905425,0.11591079620838166,51.08,1.824992586517334,0.6,8.25862066499118,0.9676724168761024,0.009075863013878978,0.08,3.0,0.72
40,0.04211367764821722,1,1.550048766746521,1.4344061617279054,0.16061472332954407,0.11564260535240173,53.86,1.6864289079666137,0.6,8.25862066499118,0.9676724168761024,0.009254217187970364,0.08,3.0,0.72
41,0.04172826515897146,1,1.542436166191101,1.4266825743484497,0.16076887465953826,0.11575359436273575,52.97,1.7450176658630372,0.6,8.25862063210586,0.9676724209867675,0.009349345759456527,0.08,3.0,0.72
42,0.04133551509975264,1,1.5427160237121582,1.4271661503601074,0.1604859299993515,0.11554987423658371,52.82,1.7596924251556396,0.6,8.258620640327191,0.9676724199591011,0.009525107713576791,0.08,3.0,0.72
43,0.040935599743717244,1,1.5269916786193847,1.4118655931854247,0.1598973337459564,0.11512608474493027,53.57,1.706505401802063,0.6,8.258620656769851,0.9676724179037686,0.009688305186814275,0.08,3.0,0.72
