epoch,lr,stage,kd_ready,recovery_mode,train_total,train_ce,train_kl,train_kd_term,train_fd,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,cakr_severity,teacher_conf,teacher_correct_rate,kd_sample_weight_mean,agreement,disagreement,kd_temperature,kd_weight,effective_kd_coeff,fd_weight
1,0.05,warm-up,0,0,2.269889616699219,2.269889616699219,0.47866105989456176,0.0,0.0,59.32,1.7851499212265014,0.0,12.148005962371826,0.48149925470352173,0.00037016222995589487,0.015150812156970003,0.6732294100629704,0.8495604220558616,0.6185376863650349,0.8485279968937339,0.15147200310626602,2.015150812156969,0.0,0.0,0.0
2,0.04999451708687114,warm-up,0,0,1.5184074684906006,1.5184074684906006,0.26006252620697023,0.0,0.0,56.89,1.6697701892852783,0.0,11.40573787689209,0.5742827653884888,0.0004791251207775944,0.009342196517418484,0.6741412371930564,0.8517782928998513,0.6207265087100856,0.9076885215156828,0.09231147848431716,2.0093421965174185,0.0,0.0,0.0
3,0.04997807075247146,warm-up,0,0,1.3835503848648072,1.3835503848648072,0.2248517924785614,0.0,0.0,54.73,1.6889230165481568,0.0,11.416777090592818,0.5729028636758977,0.0007879729942033009,0.009355273916874256,0.67346905152816,0.8537643862807233,0.6198862018182759,0.9078846361935901,0.0921153638064099,2.0093552739168716,0.0,0.0,0.0
4,0.04995066821070679,warm-up,0,0,1.3499122982406617,1.3499122982406617,0.22550443089485167,0.0,0.0,51.68,1.8182079559326172,0.0,11.508311835202305,0.5614610205997119,0.0009016243083434264,0.009573213507401956,0.6739816726626032,0.8516664003472194,0.6199966688900043,0.9066317839085903,0.09336821609140968,2.009573213507403,0.0,0.0,0.0
5,0.049912321481237615,warm-up,0,0,1.3404474900054932,1.3404474900054932,0.2305916254711151,0.0,0.0,55.26,1.6378506004333495,0.0,11.188924529335715,0.6013844338330356,0.0011472777808979697,0.009751636198269317,0.6745979564878947,0.8529331841127342,0.6211241361735117,0.9051885109423371,0.09481148905766285,2.009751636198272,0.0,0.0,0.0
6,0.049863047384206834,warm-up,0,0,1.3335050037384033,1.3335050037384033,0.23672842606544495,0.0,0.0,54.02,1.724874507522583,0.0,10.736556963487105,0.6579303795641118,0.0010308111179090868,0.009841418603767131,0.6744410232509799,0.8536844630070659,0.6214160182896782,0.9050276473050227,0.09497235269497728,2.009841418603768,0.0,0.0,0.0
7,0.04980286753286195,warm-up,0,0,1.3348120198059081,1.3348120198059081,0.24138420482635498,0.0,0.0,53.23,1.7617261516571046,0.0,10.373858668587424,0.703267666426572,0.0012234231121097268,0.009903973099145218,0.6733825322612167,0.8523217710997443,0.6198922008504648,0.9040527023622752,0.09594729763772482,2.009903973099144,0.0,0.0,0.0
8,0.049731808324074714,warm-up,0,0,1.320396950149536,1.320396950149536,0.24227021769046783,0.0,0.0,54.46,1.6769048385620118,0.0,11.092880985953592,0.613389876755801,0.0010186608772280372,0.009786016137103046,0.6728000159153853,0.8520180627208231,0.6193315028534521,0.9058101079652986,0.09418989203470138,2.0097860161371006,0.0,0.0,0.0
9,0.04964990092676263,warm-up,0,0,1.3289372735595704,1.3289372735595704,0.2502746141910553,0.0,0.0,52.51,1.7858985467910766,0.0,10.649902993982488,0.668762125752189,0.001260512360617709,0.009965095866904389,0.6734665676455973,0.8525295716417415,0.6198954085254913,0.9034050239626404,0.0965949760373596,2.009965095866905,0.0,0.0,0.0
10,0.049557181268217225,warm-up,0,0,1.3268097443771363,1.3268097443771363,0.25223079664230347,0.0,0.0,55.77,1.658128367614746,0.0,10.729061083360152,0.658867364579981,0.001311207112766252,0.010065070027795825,0.6743183884474323,0.8535166241018973,0.6213482831750075,0.9031308368038948,0.09686916319610518,2.0100650700277916,0.0,0.0,0.0
11,0.049453690018345146,projection,0,0,1.3283349250030518,1.3283349250030518,0.2566651869392395,0.0,0.0,56.23,1.6022275985717773,0.0,8.064124735918911,0.9919844080101361,0.005305545616217635,0.01008727858451087,0.6743734826517227,0.8539042520096235,0.6211819673133323,0.9030608354931902,0.0969391645068098,2.010087278584511,0.0,0.0,0.0
12,0.04933947257182901,projection,0,0,1.3232522815704346,1.3232522815704346,0.2602503810119629,0.0,0.0,49.87,1.906793181991577,0.0,8.256223115054043,0.9679721106182446,0.004829258340495554,0.011285362723412294,0.6735683086583072,0.8547714194068519,0.6208213389377155,0.9030630096145298,0.09693699038547018,2.0112853627234117,0.0,0.0,0.0
13,0.04921457902821578,projection,0,0,1.3270879336929322,1.3270879336929322,0.26371327076911927,0.0,0.0,53.59,1.7290490337371827,0.0,8.714450619437478,0.9106936725703152,0.004255405090093104,0.011213771058773763,0.6740054451596097,0.8535725703019925,0.620863695888568,0.9023500644337491,0.09764993556625093,2.011213771058775,0.0,0.0,0.0
14,0.049079064169941455,projection,0,0,1.321036958694458,1.321036958694458,0.2657339651298523,0.0,0.0,52.65,1.7709433612823486,0.0,8.644774480299516,0.9194031899625605,0.00415830621601675,0.01094993660024611,0.6737697877542442,0.8523976982706953,0.619598179826956,0.9032668492678181,0.09673315073218187,2.0109499366002423,0.0,0.0,0.0
