epoch,lr,train_loss,test_loss,test_acc
1,0.05,1.4224337866592407,1.3442270893096924,54.27
2,0.05,0.9328352830505371,1.043076024723053,64.7
3,0.05,0.741385002040863,0.9082114380836487,69.89
4,0.05,0.6366910995101929,0.8390014149665832,72.27
5,0.05,0.570277656211853,0.6569999688148499,77.28
6,0.05,0.5277516735649109,0.6872765621185303,77.61
7,0.05,0.4926129875564575,0.6826495815277099,77.33
8,0.05,0.457398983502388,0.61219369764328,80.29
9,0.05,0.43479461188316343,0.5392261028289795,81.88
10,0.05,0.4199172299861908,0.7314981194019318,76.29
11,0.05,0.4047678659439087,0.5937967890739441,80.9
12,0.05,0.390912040309906,0.5441703117370605,81.74
13,0.05,0.37563297149658204,0.6065534985542297,79.85
14,0.05,0.3641291274547577,0.7151771540164947,78.06
15,0.05,0.3591633460330963,0.738149428653717,76.33
16,0.05,0.3519220503807068,0.5483984508037567,82.11
17,0.05,0.3400574059867859,0.5315561417579651,81.94
18,0.05,0.33559688653945924,0.6124221548557282,81.0
19,0.05,0.3270474160671234,0.46204345042705536,84.62
20,0.05,0.3232592632865906,0.5763079536437988,80.86
21,0.05,0.3194964498138428,0.5045405227661133,83.0
22,0.05,0.31278871198654173,0.5455924903392791,82.28
23,0.05,0.31060446829795835,0.6156450723648071,81.43
24,0.05,0.3029955807971954,0.5022658548116684,84.16
25,0.05,0.30142364248275755,0.468325127696991,84.68
26,0.05,0.29998270141601563,0.5877272717475891,82.27
27,0.05,0.2977175926685333,0.6007742774009704,80.99
28,0.05,0.29721156964302065,0.5628912083625793,82.21
29,0.05,0.28585616656303403,0.6463710048675537,80.97
30,0.05,0.28819864056110384,0.4529335587978363,85.5
31,0.05,0.28183587241649627,0.6027174805641174,81.07
32,0.05,0.28327662108421325,0.6234330903053283,81.12
33,0.05,0.2828869432401657,0.5965562879562378,81.65
34,0.05,0.2829849507713318,0.7681416729927063,77.67
35,0.05,0.2820760739707947,0.5166548347473144,84.09
36,0.05,0.27632802300453185,0.7906257807731628,77.76
37,0.05,0.2766809274864197,0.5321935502052307,82.84
38,0.05,0.2763770339012146,0.6599134334087372,79.49
39,0.05,0.2736667724227905,0.45084209709167483,85.15
40,0.05,0.2709924610710144,1.0186958923339844,73.39
41,0.05,0.2738039576292038,0.5396704162597656,83.21
42,0.05,0.2714681494140625,0.46097412424087525,85.27
43,0.05,0.2669393024635315,0.4169692690849304,86.48
44,0.05,0.2692331307983398,0.8634342834472656,75.99
45,0.05,0.2621331887626648,0.5510494867801666,82.47
46,0.05,0.2689447889995575,0.4790539295434952,84.77
47,0.05,0.2593626209163666,0.5022476984024048,83.97
48,0.05,0.26879366866111754,0.430987841463089,85.85
49,0.05,0.26823492379188535,0.5149146074771881,83.42
50,0.05,0.2597213848114014,0.5287838829994201,84.29
51,0.05,0.2612297969198227,0.4809747955799103,84.17
52,0.05,0.2570554905986786,0.5139288449764252,84.07
53,0.05,0.26143940098762514,0.7468063194274902,79.21
54,0.05,0.2591753515625,0.6042443366527558,81.08
55,0.05,0.2575102258205414,0.5117812378406524,83.84
56,0.05,0.2541216522979736,0.5376218858718872,83.19
57,0.05,0.26041293950080874,0.4915251753807068,83.99
58,0.05,0.25824495049476626,0.5875249432563782,82.6
59,0.05,0.25846807297706603,0.4855401917457581,84.59
60,0.05,0.2588585916900635,0.43999931793212893,85.87
61,0.05,0.25721486567497254,0.444204905462265,85.77
62,0.05,0.25596050280570987,0.4848757703781128,84.17
63,0.05,0.24909625037193298,0.40829167404174804,86.19
64,0.05,0.25536603076934816,0.6079540062904358,82.35
65,0.05,0.2530528578519821,0.44136656112670897,85.82
66,0.05,0.25006619470596314,0.43422108373641966,85.96
67,0.05,0.2531955236053467,0.5859196322441101,82.36
68,0.05,0.2529176529455185,0.5563832685947419,82.97
