epoch,lr,kd_ready,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,kd_weight,kd_temperature,effective_kd_coeff
1,0.05,0,0.31095331164360046,0.31095331164360046,0.0,0.0,86.34,0.43216225078105924,0.0,11.901837348937988,0.5122703313827515,0.0005703027001221595,0.0,3.0,0.0
2,0.04999451708687114,0,0.2956632016277313,0.2956632016277313,0.0,0.0,83.2,0.5231022424697876,0.0,11.438727855682373,0.5701590180397034,0.0005668283475560285,0.0,3.0,0.0
3,0.04997807075247146,0,0.3035232777404785,0.3035232777404785,0.0,0.0,83.94,0.48888494024276735,0.0,10.715711723674428,0.6605360345406965,0.0011104947483214676,0.0,3.0,0.0
4,0.04995066821070679,0,0.3095195232963562,0.3095195232963562,0.0,0.0,84.25,0.4763363862037659,0.0,10.244665059176358,0.7194168676029553,0.001376521712452152,0.0,3.0,0.0
5,0.049912321481237615,0,0.31416332490921023,0.31416332490921023,0.0,0.0,80.8,0.605971216392517,0.0,10.573254325173117,0.6783432093533603,0.0013962575540062971,0.0,3.0,0.0
6,0.049863047384206834,0,0.30942622158050537,0.30942622158050537,0.0,0.0,85.7,0.41352793741226196,0.0,10.377368753606623,0.7028289057991721,0.0013654704826794014,0.0,3.0,0.0
7,0.04980286753286195,0,0.3100392916584015,0.3100392916584015,0.0,0.0,80.43,0.579890610742569,0.0,11.40538302334872,0.5743271220814099,0.0011581874987314222,0.0,3.0,0.0
8,0.049731808324074714,0,0.3102974070072174,0.3102974070072174,0.0,0.0,82.85,0.5201491449356079,0.0,10.997877207669346,0.6252653490413318,0.0011741776750527192,0.0,3.0,0.0
9,0.04964990092676263,0,0.31197196775436403,0.31197196775436403,0.0,0.0,83.95,0.46456484508514406,0.0,10.620016834952615,0.6724978956309231,0.001285648263629727,0.0,3.0,0.0
10,0.049557181268217225,0,0.3123940796661377,0.3123940796661377,0.0,0.0,84.39,0.46912212352752686,0.0,10.223108378323642,0.7221114527095447,0.0015549880140910814,0.0,3.0,0.0
11,0.049453690018345146,0,0.31123240774154665,0.31123240774154665,0.0,0.0,81.62,0.5595215688705444,0.0,8.081310315565629,0.9898362105542964,0.004898671092550186,0.0,3.0,0.0
12,0.04933947257182901,0,0.31019566195964815,0.31019566195964815,0.0,0.0,84.92,0.44824708728790286,0.0,8.303217194297098,0.9620978507128628,0.0043537065556103535,0.0,3.0,0.0
13,0.04921457902821578,0,0.3067575946044922,0.3067575946044922,0.0,0.0,84.33,0.464124093914032,0.0,8.527873689478094,0.9340157888152383,0.004164663627637889,0.0,3.0,0.0
14,0.049079064169941455,0,0.30845419633865356,0.30845419633865356,0.0,0.0,83.85,0.5068393724441528,0.0,8.878645680167459,0.8901692899790676,0.0038130910586253526,0.0,3.0,0.0
15,0.048932987438301684,0,0.307687591342926,0.307687591342926,0.0,0.0,85.34,0.4258346322059631,0.0,8.593379042365335,0.9258276197043331,0.004159942081473259,0.0,3.0,0.0
16,0.048776412907378844,0,0.6510796078109741,0.6510796078109741,0.0,0.0,56.47,1.211293486404419,0.5982142857142857,8.039233467795633,0.9950958165255459,0.0048576848877763205,0.0,3.0,0.0
17,0.048609409255937035,0,0.8714729794311523,0.8714729794311523,0.0,0.0,61.9,1.2234864351272583,0.5982142857142857,8.0,1.0,0.004274224068715491,0.0,3.0,0.0
18,0.04843204973729729,1,1.2995579851531982,0.7586489735221863,0.6010100234603882,0.5409090092468262,69.89,0.9614886709213257,0.5982142857142857,7.999999956651167,1.0,0.004288221868178384,0.1,3.0,0.9000000000000001
19,0.04824441214720629,1,1.1985123534393312,0.7213627973556519,0.5301661867713928,0.4771495562362671,72.27,0.8436696044921875,0.5982142857142857,7.999999978325584,1.0,0.004341359141769565,0.1,3.0,0.9000000000000001
20,0.04804657878971252,1,1.1530294746398926,0.7005234023666382,0.5027845379829406,0.45250607189178466,70.16,1.012676854944229,0.5982142857142857,7.999999891627919,1.0,0.004439665449105881,0.1,3.0,0.9000000000000001
21,0.04783863644106502,1,1.1179612002944945,0.6854079532623291,0.48061473269462585,0.4325532469558716,69.95,0.994071005153656,0.5982142857142857,7.999999956651167,1.0,0.004549110808346251,0.1,3.0,0.9000000000000001
22,0.04762067631165049,1,1.0961555495071411,0.6730256699943542,0.47014432465553285,0.42312988167762755,59.96,1.7804533847808839,0.5982142857142857,8.0,1.0,0.004647735458671708,0.1,3.0,0.9000000000000001
23,0.047392794005985325,1,1.0698428475570678,0.6600673626708984,0.45530610724449155,0.4097754856491089,69.68,1.0083547842025757,0.5982142857142857,8.0,1.0,0.004797624736304649,0.1,3.0,0.9000000000000001
24,0.04715508948078037,1,1.0503523645401,0.6478979776573182,0.4471715529823303,0.4024543864536285,72.25,0.9102024961471558,0.5982142857142857,8.0,1.0,0.004929600754456425,0.1,3.0,0.9000000000000001
