epoch,lr,stage,kd_ready,recovery_mode,train_total,train_ce,train_kl,train_kd_term,train_fd,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,cakr_severity,teacher_conf,teacher_correct_rate,kd_sample_weight_mean,agreement,disagreement,kd_temperature,kd_weight,effective_kd_coeff,fd_weight
1,0.05,warm-up,0,0,0.20388102152347565,0.20388102152347565,0.41476446276664736,0.0,0.0,82.97,0.5620504523277283,0.0,12.329075237800335,0.45886559527495807,0.0006216032878898722,0.0009997468822245598,0.9983812130015829,0.999880115089514,0.9983114595608333,0.980115785470704,0.019884214529296017,3.0009997468822247,0.0,0.0,0.0
2,0.04999451708687114,warm-up,0,0,0.24046114664554596,0.24046114664554596,0.3421240672206879,0.0,0.0,87.72,0.3847685324192047,0.0,11.69033094932293,0.5387086313346336,0.0009997524092529508,0.0017053179682139602,0.9983684298632395,0.999940057544757,0.9983283513037445,0.9683800537872802,0.031619946212719775,3.0017053179682134,0.0,0.0,0.0
3,0.04997807075247146,warm-up,0,0,0.24569423533439635,0.24569423533439635,0.3202325688457489,0.0,0.0,81.15,0.608424219942093,0.0,11.281881447496085,0.5897648190629894,0.0011992430455424695,0.0018689705904052665,0.9984012895532887,0.999940057544757,0.9983608359875886,0.9666195978289065,0.03338040217109348,3.001868970590406,0.0,0.0,0.0
4,0.04995066821070679,warm-up,0,1,0.24868032070159912,0.24868032070159912,0.31279111163139345,0.0,0.0,84.81,0.46201406412124635,0.0,11.044791862882416,0.619401017139698,0.0013654344997717247,0.0019344020593538736,0.9983641415300881,0.999880115089514,0.9982984576688703,0.9661089309950923,0.03389106900490763,3.0019344020593537,0.0,0.0,0.0
5,0.049912321481237615,warm-up,0,1,0.25389458278179167,0.25389458278179167,0.30716918932914733,0.0,0.0,85.97,0.43601471118927004,0.0,10.947677760288633,0.6315402799639209,0.0013856785851109226,0.0020185758804964066,0.9983289984181104,0.9999000959079284,0.9982692768506687,0.9650902203891588,0.03490977961084117,3.0020185758805025,0.0,0.0,0.0
6,0.049863047384206834,warm-up,0,1,0.2578587427711487,0.2578587427711487,0.3035730589485168,0.0,0.0,86.39,0.42611042437553404,0.0,11.021947729176489,0.6222565338529389,0.0015780376706657237,0.002058417660233657,0.9982899040212412,0.999880115089514,0.9982064288595448,0.9643743611357706,0.035625638864229404,3.002058417660244,0.0,0.0,0.0
7,0.04980286753286195,warm-up,0,0,0.25932612478256223,0.25932612478256223,0.3007165779209137,0.0,0.0,84.62,0.4836539580345154,0.0,10.815703704439361,0.6480370369450799,0.001953914272015591,0.002112911175371932,0.9983305632305877,0.9998601342710998,0.9982382370078046,0.9640539271752243,0.035946072824775716,3.002112911175373,0.0,0.0,0.0
8,0.049731808324074714,warm-up,0,0,0.2567886492061615,0.2567886492061615,0.2954248749256134,0.0,0.0,86.83,0.4071642840862274,0.0,10.702363104655825,0.6622046119180218,0.0021697024656469723,0.002168053244957583,0.9983017949192116,0.9999000959079284,0.9982460744850471,0.9644545921889107,0.035545407811089245,3.0021680532449557,0.0,0.0,0.0
9,0.04964990092676263,warm-up,0,0,0.26214077377319334,0.26214077377319334,0.29782888690948484,0.0,0.0,84.42,0.4948870110988617,0.0,10.762527991985452,0.6546840010018184,0.0021515463582106567,0.002251521322015596,0.9982974651219595,0.9999200767263428,0.9982536009815343,0.963648383422276,0.03635161657772406,3.0022515213220133,0.0,0.0,0.0
10,0.049557181268217225,warm-up,0,0,0.2603460020446777,0.2603460020446777,0.2938338884830475,0.0,0.0,86.65,0.419191860294342,0.0,10.642266610573078,0.6697166736783653,0.002156566978210949,0.002246548012772911,0.9983913683525437,0.9998001918158568,0.9982748383756184,0.9636752251773844,0.036324774822615605,3.0022465480127685,0.0,0.0,0.0
11,0.049453690018345146,projection,0,0,0.26071513780593875,0.26071513780593875,0.29182469277381895,0.0,0.0,85.66,0.4479028199195862,0.0,8.041800827815615,0.9947748965230481,0.007361451581377408,0.0022401679978241947,0.9983988209148807,0.999940057544757,0.9983568168662088,0.9638229079563599,0.03617709204364006,3.0022401679978215,0.0,0.0,0.0
