epoch,lr,kd_ready,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,kd_weight,kd_temperature,effective_kd_coeff
1,0.05,0,0.20831033799648285,0.20831033799648285,0.0,0.0,80.8,0.6123087448596954,0.0,12.418553056388065,0.44768086795149187,0.0005649867019060209,0.0,3.0,0.0
2,0.04999451708687114,0,0.23902682250976562,0.23902682250976562,0.0,0.0,84.79,0.47807752046585084,0.0,11.967684449820682,0.5040394437724147,0.00096822467894487,0.0,3.0,0.0
3,0.04997807075247146,0,0.2452611065864563,0.2452611065864563,0.0,0.0,82.79,0.5573483983516693,0.0,11.360544204711914,0.5799319744110107,0.0011576991644938845,0.0,3.0,0.0
4,0.04995066821070679,0,0.25395870084762573,0.25395870084762573,0.0,0.0,83.4,0.5171969252586365,0.0,11.463757465625632,0.567030316796796,0.001335094219986535,0.0,3.0,0.0
5,0.049912321481237615,0,0.25815343173980715,0.25815343173980715,0.0,0.0,84.71,0.4741697088241577,0.0,11.198238216597458,0.6002202229253177,0.0015758877966618456,0.0,3.0,0.0
6,0.049863047384206834,0,0.2573395090484619,0.2573395090484619,0.0,0.0,85.04,0.47494314765930173,0.0,11.002847441311541,0.6246440698360574,0.0016897565721655124,0.0,3.0,0.0
7,0.04980286753286195,0,0.2634517297077179,0.2634517297077179,0.0,0.0,82.83,0.5414753264427185,0.0,11.067288308308042,0.6165889614614948,0.00190458458244644,0.0,3.0,0.0
8,0.049731808324074714,0,0.262005107460022,0.262005107460022,0.0,0.0,83.46,0.5025706965446473,0.0,10.83583484024837,0.6455206449689537,0.0020482265475132815,0.0,3.0,0.0
9,0.04964990092676263,0,0.25812203008651735,0.25812203008651735,0.0,0.0,85.88,0.4192645906448364,0.0,10.609742674334296,0.673782165708213,0.0021418370382387617,0.0,3.0,0.0
10,0.049557181268217225,0,0.258942807559967,0.258942807559967,0.0,0.0,85.89,0.4303832331895828,0.0,10.779413543898483,0.6525733070126896,0.0021199240085605134,0.0,3.0,0.0
11,0.049453690018345146,0,0.26092020857334136,0.26092020857334136,0.0,0.0,87.24,0.3869770538330078,0.0,8.063430292852994,0.9920712133933758,0.00721730318739368,0.0,3.0,0.0
12,0.04933947257182901,0,0.26058623147964477,0.26058623147964477,0.0,0.0,85.55,0.44266900134086606,0.0,8.195580416712268,0.9755524479109665,0.006738961782659693,0.0,3.0,0.0
13,0.04921457902821578,0,0.26016673007965085,0.26016673007965085,0.0,0.0,86.77,0.41348660078048705,0.0,8.332239742936759,0.9584700321329052,0.006306584771915242,0.0,3.0,0.0
14,0.049079064169941455,0,0.26173702765464785,0.26173702765464785,0.0,0.0,86.42,0.4152088003754616,0.0,8.493621842614536,0.938297269673183,0.005853833805304021,0.0,3.0,0.0
15,0.048932987438301684,0,0.25982059728622436,0.25982059728622436,0.0,0.0,86.81,0.4068563359260559,0.0,8.713762349095838,0.9107797063630203,0.005790929680461565,0.0,3.0,0.0
