epoch,lr,kd_ready,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,kd_weight,kd_temperature,effective_kd_coeff
1,0.05,0,0.20843452658653258,0.20843452658653258,0.0,0.0,84.67,0.5007271206855773,0.0,12.450674270761423,0.4436657161548221,0.0005679580253109666,0.0,3.0,0.0
2,0.04999451708687114,0,0.23251374321937562,0.23251374321937562,0.0,0.0,84.95,0.4758789227485657,0.0,11.513452250381995,0.5608184687022506,0.0009730632125489326,0.0,3.0,0.0
3,0.04997807075247146,0,0.2490612487268448,0.2490612487268448,0.0,0.0,81.75,0.5857530364990234,0.0,11.313105846273489,0.5858617692158139,0.00115836996152713,0.0,3.0,0.0
4,0.04995066821070679,0,0.25187775979042054,0.25187775979042054,0.0,0.0,81.38,0.5865712171554566,0.0,11.166742538583689,0.6041571826770389,0.00141587269235029,0.0,3.0,0.0
5,0.049912321481237615,0,0.2545103021478653,0.2545103021478653,0.0,0.0,84.95,0.4771836269378662,0.0,11.038753542406806,0.6201558071991493,0.001607623175130294,0.0,3.0,0.0
6,0.049863047384206834,0,0.2609419213104248,0.2609419213104248,0.0,0.0,87.34,0.3955087560176849,0.0,10.849960088729858,0.6437549889087677,0.001905621391290032,0.0,3.0,0.0
7,0.04980286753286195,0,0.25604852816581725,0.25604852816581725,0.0,0.0,87.13,0.38861200189590456,0.0,10.630649920167594,0.6711687599790508,0.0022219392848110775,0.0,3.0,0.0
8,0.049731808324074714,0,0.26052362154960634,0.26052362154960634,0.0,0.0,87.22,0.39127060089111326,0.0,10.53024852686915,0.6837189341413563,0.002376929903973711,0.0,3.0,0.0
9,0.04964990092676263,0,0.25832010910511016,0.25832010910511016,0.0,0.0,85.94,0.4325958043575287,0.0,10.391999540657833,0.7010000574177708,0.002599691534630344,0.0,3.0,0.0
10,0.049557181268217225,0,0.26055072088241577,0.26055072088241577,0.0,0.0,85.49,0.4533762677192688,0.0,10.246817835446063,0.7191477705692422,0.002613708927850078,0.0,3.0,0.0
11,0.049453690018345146,0,0.26230526220321654,0.26230526220321654,0.0,0.0,84.63,0.48494538559913636,0.0,8.046652251276477,0.9941684685904404,0.007333359082935956,0.0,3.0,0.0
12,0.04933947257182901,0,0.2653150547027588,0.2653150547027588,0.0,0.0,84.05,0.5008255608081817,0.0,8.169212957908368,0.978848380261454,0.00683260451729313,0.0,3.0,0.0
13,0.04921457902821578,0,0.25942305074691774,0.25942305074691774,0.0,0.0,84.4,0.48472468662261964,0.0,8.280577347196381,0.9649278316004524,0.006511959205140713,0.0,3.0,0.0
14,0.049079064169941455,0,0.2608438652896881,0.2608438652896881,0.0,0.0,84.83,0.48040103092193603,0.0,8.404964364808182,0.9493794543989773,0.006171935301169689,0.0,3.0,0.0
15,0.048932987438301684,0,0.2599552181434631,0.2599552181434631,0.0,0.0,85.43,0.4431056802749634,0.0,8.47322835593388,0.940846455508265,0.0060805309832834735,0.0,3.0,0.0
16,0.048776412907378844,0,0.3688928345489502,0.3688928345489502,0.0,0.0,73.83,0.820197537612915,0.6,8.256255125177317,0.9679681093528354,0.006071266206382806,0.0,3.0,0.0
17,0.048609409255937035,0,0.49183021753311157,0.49183021753311157,0.0,0.0,82.84,0.5397510456085205,0.6,8.1551723315798,0.980603458552525,0.006188456258628164,0.0,3.0,0.0
18,0.04843204973729729,1,0.6422440584373474,0.44185617933273313,0.3710886510467529,0.2003878795003891,80.74,0.6320656893730163,0.6,8.155172364465122,0.9806034544418598,0.006168167488669559,0.06,3.0,0.54
19,0.04824441214720629,1,0.6034713083076477,0.4208611678028107,0.3381669156551361,0.1826101416873932,83.58,0.5218709122657776,0.6,8.155172380907782,0.9806034523865272,0.0062005869659860135,0.06,3.0,0.54
20,0.04804657878971252,1,0.5821595816230773,0.4062024490070343,0.3258465306186676,0.17595713344097139,80.98,0.610882544708252,0.6,8.155172306915809,0.9806034616355239,0.006267380468137884,0.06,3.0,0.54
21,0.04783863644106502,1,0.5704200457954407,0.39984478095054626,0.31588010502815245,0.17057526356220246,83.22,0.5343856188774109,0.6,8.155172372686453,0.9806034534141934,0.006343443290900503,0.06,3.0,0.54
22,0.04762067631165049,1,0.5567655522155762,0.3896283807849884,0.30951326961517334,0.16713717203617096,84.76,0.47109382619857787,0.6,8.155172364465122,0.9806034544418598,0.006456824951877432,0.06,3.0,0.54
23,0.047392794005985325,1,0.5484879355239868,0.3837142533874512,0.3051364376163483,0.16477368270874024,79.76,0.7009230500221253,0.6,8.155172372686453,0.9806034534141934,0.0065506718659388095,0.06,3.0,0.54
24,0.04715508948078037,1,0.5373025840568543,0.3758107776260376,0.29905888880729675,0.1614918064069748,83.42,0.5173235243797302,0.6,8.155172389129113,0.9806034513588608,0.006681166766893825,0.06,3.0,0.54
25,0.04690766700109659,1,0.5341179290390015,0.37457711936950683,0.29544593229293825,0.15954080951690675,81.28,0.6447803936481475,0.6,8.155172397350443,0.9806034503311947,0.006804292392314829,0.06,3.0,0.54
26,0.04665063509461097,1,0.5218394735908508,0.36480662466049196,0.2908015611457825,0.15703284925937652,81.99,0.5874278458595276,0.6,8.155172356243792,0.980603455469526,0.006967001626717633,0.06,3.0,0.54
27,0.04638410650401267,1,0.5184691628265381,0.36292734599113463,0.28804039114952085,0.15554181721687316,83.25,0.5385243269443512,0.6,8.155172364465122,0.9806034544418598,0.0071008727998183715,0.06,3.0,0.54
28,0.04610819813755038,1,0.5090668248844147,0.3554663853931427,0.28444524814128874,0.15360043992996217,85.44,0.4632463266849518,0.6,8.155172380907782,0.9806034523865272,0.007266847125720233,0.06,3.0,0.54
29,0.04582303101775249,1,0.5074566948699951,0.3557706722831726,0.28090002698898314,0.15168602128028869,84.02,0.5168053894996643,0.6,8.155172364465122,0.9806034544418598,0.007399157253656022,0.06,3.0,0.54
30,0.045528730228342605,1,0.49822647581100465,0.34789542657852174,0.278390818901062,0.15033104837417602,83.05,0.5607605833053589,0.6,8.155172348022461,0.9806034564971924,0.007565116519830993,0.06,3.0,0.54
31,0.04522542485937369,1,0.49459667224884035,0.34519560160636903,0.2766686373806,0.14940106967926026,86.91,0.4167372205257416,0.6,8.155172380907782,0.9806034523865272,0.007730577391941614,0.06,3.0,0.54
32,0.04491324795060491,1,0.4869192568588257,0.3399489427757263,0.2721672374725342,0.14697031412601472,79.47,0.6579163228034973,0.6,8.155172372686453,0.9806034534141934,0.007893865986261517,0.06,3.0,0.54
33,0.044592336433146,1,0.48710291788101195,0.33980480427742005,0.2727742732000351,0.14729811331748963,82.89,0.57142400431633,0.6,8.155172372686453,0.9806034534141934,0.008093860395782596,0.06,3.0,0.54
34,0.044262831069394735,1,0.4840513743019104,0.3385472319984436,0.26945210406303405,0.1455041419649124,84.17,0.5296935054779053,0.6,8.155172356243792,0.980603455469526,0.008244347423395335,0.06,3.0,0.54
35,0.043924876391293916,1,0.48085460525512697,0.33627439577102664,0.2677411162567139,0.14458020874500274,87.26,0.41528089694976805,0.6,8.155172372686453,0.9806034534141934,0.008405032180297863,0.06,3.0,0.54
36,0.043578620636934864,1,0.47681030687332154,0.33300552585601806,0.26630513919830323,0.14380478091478346,83.94,0.5068511190414429,0.6,8.155172356243792,0.980603455469526,0.00855725178302362,0.06,3.0,0.54
37,0.04322421568553529,1,0.4659899228477478,0.324949249124527,0.26118642287254334,0.14104067396640776,85.25,0.478037548160553,0.6,8.155172356243792,0.980603455469526,0.008723145932890475,0.06,3.0,0.54
38,0.04286181699082009,1,0.46810332279205324,0.32659937620162965,0.26204433342933653,0.14150394560337068,82.98,0.5576372601985932,0.6,8.155172348022461,0.9806034564971924,0.008875891905486712,0.06,3.0,0.54
39,0.04249158351283414,1,0.4683829350090027,0.3270064277791977,0.26180833604335785,0.14137650692939757,85.26,0.4743281868934631,0.6,8.155172356243792,0.980603455469526,0.00906991930517914,0.06,3.0,0.54
40,0.04211367764821722,1,0.4572319707298279,0.3190896115589142,0.25581917322158815,0.13814235918998718,85.86,0.43157559967041015,0.6,8.155172364465122,0.9806034544418598,0.009202625626569679,0.06,3.0,0.54
41,0.04172826515897146,1,0.4602703075218201,0.3223719794082642,0.2553672633266449,0.13789832789897918,82.27,0.58678718957901,0.6,8.15517231513714,0.9806034606078575,0.00930936582153663,0.06,3.0,0.54
42,0.04133551509975264,1,0.4529766233444214,0.31608675615310666,0.25349974269866943,0.13688986688137053,87.27,0.4002270154953003,0.6,8.155172348022461,0.9806034564971924,0.00948148374526023,0.06,3.0,0.54
43,0.040935599743717244,1,0.44858039026260377,0.31199999903678893,0.2529266382598877,0.13658039002418518,85.03,0.47705144300460817,0.6,8.155172364465122,0.9806034544418598,0.009629696529310453,0.06,3.0,0.54
44,0.040528694506957764,1,0.4549968681907654,0.3177966902923584,0.2540743945980072,0.13720017853260041,85.88,0.4467801070213318,0.6,8.155172380907782,0.9806034523865272,0.009759988186174426,0.06,3.0,0.54
45,0.040114977871559376,1,0.44288532071113584,0.30888696914672853,0.24814508690834045,0.1339983524608612,85.65,0.46407043476104737,0.6,8.155172356243792,0.980603455469526,0.009906555648395342,0.06,3.0,0.54
46,0.03969463130731183,1,0.4466357019233704,0.31180263120651247,0.24969086197853088,0.1348330708360672,84.23,0.5192814843654633,0.6,8.155172372686453,0.9806034534141934,0.010047542974995128,0.06,3.0,0.54
47,0.0392678391921108,1,0.44110416730880736,0.30770903970718383,0.24702800456523896,0.13339512780427934,86.17,0.44052247791290283,0.6,8.155172364465122,0.9806034544418598,0.01023541122137023,0.06,3.0,0.54
