epoch,lr,stage,train_loss,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error
1,0.05,warm-up,1.4572808626556397,63.93,1.521523371887207,0.0,13.299658282049771,0.3375427147437786,0.0002899731102216124
2,0.04999451708687114,warm-up,0.9004705659866333,59.89,1.5617116855621338,0.0,12.453333460051438,0.4433333174935703,0.0005378559463318605
3,0.04997807075247146,warm-up,0.8954711500167847,60.95,1.524529776763916,0.0,11.643222101803484,0.5445972372745644,0.0008587134594437947
4,0.04995066821070679,warm-up,0.9090066005325317,62.45,1.4581391801834107,0.0,11.461576100053458,0.5673029874933178,0.0009459141376345511
5,0.049912321481237615,warm-up,0.9295235900878906,58.76,1.6093112731933594,0.0,11.396506819231757,0.5754366475960304,0.0009905625091928883
6,0.049863047384206834,warm-up,0.9617678434562683,57.4,1.669416100692749,0.0,11.33267280973237,0.5834158987834537,0.0011231478004698021
7,0.04980286753286195,warm-up,0.974202626914978,59.12,1.5900897596359254,0.0,11.010981198014884,0.6236273502481395,0.0013385299035094092
8,0.049731808324074714,warm-up,1.0007145820617676,57.75,1.6371302019119263,0.0,11.11135851925817,0.6110801850927288,0.00134874284467828
9,0.04964990092676263,warm-up,1.016890165576935,56.59,1.689214020729065,0.0,11.05430715659569,0.6182116054255387,0.00144522667888568
10,0.049557181268217225,warm-up,1.0314117082214356,55.05,1.7604407281875611,0.0,11.180849971442386,0.6023937535697017,0.0014180966189024761
11,0.049453690018345146,projection,1.0515648150634767,58.35,1.595422678565979,0.0,8.054398380476853,0.9932002024403934,0.00778629271923725
12,0.04933947257182901,projection,1.0585097976493836,59.62,1.4957265602111816,0.0,8.2395454275197,0.9700568215600376,0.007255609091050152
13,0.04921457902821578,projection,1.0673002922058106,54.96,1.6942182193756103,0.0,8.391581601109998,0.9510522998612503,0.006954496593921092
14,0.049079064169941455,projection,1.0728267919921874,60.66,1.4495864205360414,0.0,8.525492627045203,0.9343134216193496,0.006665714190478019
15,0.048932987438301684,projection,1.0866295717620849,60.95,1.4391612745285034,0.0,8.546985609778043,0.9316267987777447,0.006596983068197131
16,0.048776412907378844,joint,1.7545300072479248,35.73,2.587266384887695,0.6,8.406440480002042,0.9491949399997448,0.006673057573638728
17,0.048609409255937035,joint,2.062427892990112,43.18,2.141488543319702,0.6,8.36206891618926,0.9547413854763425,0.006413990734064759
18,0.04843204973729729,joint,1.8280974639892578,43.72,2.137281593322754,0.6,8.362068866861277,0.9547413916423404,0.006399955594478625
19,0.04824441214720629,joint,1.7295600441360475,42.05,2.244825748825073,0.6,8.36206894085325,0.9547413823933437,0.006330919358678612
20,0.04804657878971252,joint,1.6726932507705687,47.12,1.9539818817138672,0.6,8.362068883303937,0.9547413895870078,0.006334300442992164
21,0.04783863644106502,joint,1.6299730825424195,47.53,1.9101780416488647,0.6,8.36206890796793,0.9547413865040089,0.0063869601902391375
22,0.04762067631165049,joint,1.6010995360183715,48.51,1.8810788120269775,0.6,8.36206892441059,0.9547413844486763,0.00643914864310224
23,0.047392794005985325,joint,1.5667028717422484,47.19,1.9987117992401122,0.6,8.36206894085325,0.9547413823933437,0.006502277410492815
24,0.04715508948078037,joint,1.5486500677871704,50.6,1.7983918952941895,0.6,8.36206893263192,0.9547413834210099,0.006578175027870798
25,0.04690766700109659,joint,1.5353885429382323,43.43,2.1985140029907226,0.6,8.36206892441059,0.9547413844486763,0.006669131019313274
26,0.04665063509461097,joint,1.5083791697692872,49.52,1.8886189630508423,0.6,8.3620688997466,0.954741387531675,0.00676231428876455
27,0.04638410650401267,joint,1.4980733853149415,48.49,1.8656208374023437,0.6,8.362068883303937,0.9547413895870078,0.006854640020876481
28,0.04610819813755038,joint,1.4881267052459717,48.89,1.9057592906951903,0.6,8.36206891618926,0.9547413854763425,0.006946755876234765
29,0.04582303101775249,joint,1.4773052672576905,46.57,2.063252470779419,0.6,8.36206892441059,0.9547413844486763,0.0070714267685302885
30,0.045528730228342605,joint,1.4665153856277466,51.14,1.7854127279281615,0.6,8.36206893263192,0.9547413834210099,0.007184164849479265
31,0.04522542485937369,joint,1.4478614134216308,47.4,1.934734831237793,0.6,8.36206893263192,0.9547413834210099,0.0072642043293132605
32,0.04491324795060491,joint,1.4421945846176147,52.64,1.7168212074279785,0.6,8.36206891618926,0.9547413854763425,0.007356501342969593
33,0.044592336433146,joint,1.4365195666885375,49.4,1.9212957347869872,0.6,8.36206893263192,0.9547413834210099,0.0075267543614809885
34,0.044262831069394735,joint,1.4310214993286132,48.96,1.9037315422058105,0.6,8.36206895729591,0.9547413803380111,0.007659734734574911
35,0.043924876391293916,joint,1.4237334726715087,52.41,1.7222855464935303,0.6,8.36206892441059,0.9547413844486763,0.007773987270474177
36,0.043578620636934864,joint,1.4143816140365602,51.72,1.7919910396575929,0.6,8.362068949074581,0.9547413813656773,0.007907035479578993
37,0.04322421568553529,joint,1.405934256591797,52.12,1.7676699758529664,0.6,8.36206892441059,0.9547413844486763,0.008002234008644932
38,0.04286181699082009,joint,1.3994739030456542,54.53,1.6384737180709839,0.6,8.36206894085325,0.9547413823933437,0.008131701204171083
39,0.04249158351283414,joint,1.3948451300048827,54.69,1.64441961517334,0.6,8.362068891525269,0.9547413885593414,0.008242274273251152
40,0.04211367764821722,joint,1.3894292531585692,51.18,1.8280222408294677,0.6,8.36206891618926,0.9547413854763425,0.008349712709253975
41,0.04172826515897146,joint,1.3808473628616333,53.68,1.6792130485534669,0.6,8.36206891618926,0.9547413854763425,0.008452702341761825
42,0.04133551509975264,joint,1.3730854403686523,45.52,2.0762372762680052,0.6,8.36206890796793,0.9547413865040089,0.008560541802455253
43,0.040935599743717244,joint,1.372602102279663,52.53,1.7163762916564942,0.6,8.362068949074581,0.9547413813656773,0.008707384544761916
44,0.040528694506957764,joint,1.361708570289612,51.8,1.7380109985351562,0.6,8.36206893263192,0.9547413834210099,0.008747111353621786
45,0.040114977871559376,joint,1.3575568268966676,53.45,1.711963994216919,0.6,8.36206891618926,0.9547413854763425,0.0089327045375128
46,0.03969463130731183,joint,1.350999282875061,53.75,1.6745085647583007,0.6,8.36206891618926,0.9547413854763425,0.009023290934394402
47,0.0392678391921108,joint,1.347052511253357,54.29,1.6476192371368408,0.6,8.36206892441059,0.9547413844486763,0.00913572257810176
48,0.038834788731083605,joint,1.3441244236755372,48.46,1.9537674222946166,0.6,8.36206890796793,0.9547413865040089,0.009261574720610576
49,0.038395669874474916,joint,1.3370725995254518,51.21,1.7739635540008545,0.6,8.362068949074581,0.9547413813656773,0.009388365678424979
50,0.03795067523432826,joint,1.3231229586029052,51.16,1.8581963603973388,0.6,8.36206892441059,0.9547413844486763,0.009525757172578496
51,0.037500000000000006,joint,1.3192157753372193,53.62,1.6947662252426148,0.6,8.36206892441059,0.9547413844486763,0.009652601280008796
52,0.037043841852542884,joint,1.321591986503601,56.55,1.5591511201858521,0.6,8.36206891618926,0.9547413854763425,0.00975477617587252
53,0.036582400877996545,joint,1.3113048276519776,55.46,1.6178242435455323,0.6,8.36206895729591,0.9547413803380111,0.009826036633779135
54,0.036115879479623185,joint,1.308389472694397,54.4,1.6722194349288941,0.6,8.36206892441059,0.9547413844486763,0.009938943779882815
55,0.03564448228912682,joint,1.302590894241333,56.98,1.5593102155685425,0.6,8.36206894085325,0.9547413823933437,0.010016430635005236
56,0.035168416076895005,joint,1.291326307220459,54.15,1.6434673648834228,0.6,8.36206894085325,0.9547413823933437,0.010143675967842212
57,0.034687889661302575,joint,1.2877175987243652,54.86,1.645074168586731,0.6,8.36206893263192,0.9547413834210099,0.010255276946077958
58,0.03420311381711696,joint,1.2853846591567992,55.08,1.6113692426681518,0.6,8.36206892441059,0.9547413844486763,0.010351240825598481
59,0.03371430118304538,joint,1.2793774102020263,55.78,1.614987359237671,0.6,8.362068883303937,0.9547413895870078,0.010502714862452885
60,0.03322166616846458,joint,1.2700616806411744,57.78,1.4846543968200683,0.6,8.362068949074581,0.9547413813656773,0.010614817050799471
61,0.032725424859373686,joint,1.2632353701782226,54.76,1.6333503412246704,0.6,8.36206894085325,0.9547413823933437,0.010667002729766456
62,0.03222579492361179,joint,1.2671127457427978,51.39,1.8174452127456664,0.6,8.36206893263192,0.9547413834210099,0.010785694990772754
63,0.031722995515381644,joint,1.2558581187820435,56.28,1.6099516845703126,0.6,8.36206894085325,0.9547413823933437,0.010882943168137994
64,0.031217247179121367,joint,1.2470024588394164,55.2,1.6039657752990724,0.6,8.36206893263192,0.9547413834210099,0.010989177002619695
65,0.030708771752766397,joint,1.238610685081482,53.52,1.7227839113235475,0.6,8.36206893263192,0.9547413834210099,0.011083481933696774
66,0.030197792270443988,cool-down,1.232760033454895,55.68,1.619009794998169,0.6,8.36206892441059,0.9547413844486763,0.01118777957865326
67,0.02968453286464312,cool-down,1.2230369873046876,54.52,1.687112258911133,0.6,8.36206891618926,0.9547413854763425,0.011285627216646641
68,0.02916921866790256,cool-down,1.2177122315979003,55.68,1.599775961112976,0.6,8.36206894085325,0.9547413823933437,0.011343996158945534
69,0.028652075714060296,cool-down,1.2092680533981324,53.61,1.68790163936615,0.6,8.36206892441059,0.9547413844486763,0.011389709045660907
70,0.028133330839107608,cool-down,1.2048851851654052,58.42,1.474688939857483,0.6,8.36206893263192,0.9547413834210099,0.011507071400109422
71,0.027613211581691346,cool-down,1.1935423104476928,55.45,1.6287477251052855,0.6,8.362068949074581,0.9547413813656773,0.01157162130954836
72,0.02709194608330789,cool-down,1.1910043669128418,58.1,1.5086188917160035,0.6,8.36206893263192,0.9547413834210099,0.011630025698305589
73,0.02656976298823284,cool-down,1.1885119780731201,56.47,1.582520040512085,0.6,8.36206890796793,0.9547413865040089,0.011737689608708024
74,0.026046891343229996,cool-down,1.178801104850769,56.49,1.569880860900879,0.6,8.36206892441059,0.9547413844486763,0.011813134171775189
75,0.025523560497083927,cool-down,1.1751031620407104,56.1,1.646431854248047,0.6,8.362068949074581,0.9547413813656773,0.01191656795683606
76,0.025,cool-down,1.161341276359558,59.9,1.4370284896850587,0.6,8.36206893263192,0.9547413834210099,0.01192606536767863
